Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,4032,33030144000,817.1,764.09,1.22,10024478.07,100%
prepare,write,4032,33030144000,962.82,909.2,1.04,8507483.75,100%
prepare,write,4032,33030144000,1039.63,986.46,0.96,7878984.29,100%
prepare,write,4032,33030144000,950.02,896.86,1.05,8622178.72,100%
prepare,write,4032,33030144000,1035.25,981.2,0.97,7912255.08,100%
prepare,write,4032,33030144000,866.38,812.59,1.15,9454412.64,100%
prepare,write,4032,33030144000,1033.45,979.64,0.97,7926092.57,100%
prepare,write,4032,33030144000,948.03,894.16,1.05,8640091.16,100%
prepare,write,4032,33030144000,910.34,856.83,1.1,8997852.29,100%
prepare,write,4032,33030144000,1039.35,986.15,0.96,7881071.03,100%
prepare,write,4032,33030144000,955.8,902.68,1.05,8569900.3,100%
prepare,write,4032,33030144000,951.34,898.26,1.05,8610145.12,100%
prepare,write,4032,33030144000,995.75,941.8,1,8226202.4,100%
prepare,write,4032,33030144000,1033.6,979.7,0.97,7924917.31,100%
prepare,write,4032,33030144000,969.88,915.88,1.03,8445490.39,100%
prepare,write,4032,33030144000,1002.81,949.02,1,8168222.61,100%
prepare,write,4032,33030144000,1039.04,984.54,0.96,7883379.01,100%
prepare,write,4032,33030144000,974.36,919.68,1.03,8406614.7,100%
prepare,write,4032,33030144000,1026.18,971.02,0.97,7982250.14,100%
prepare,write,4032,33030144000,959.4,904.79,1.04,8537848.51,100%
prepare,write,4032,33030144000,1028,973.22,0.97,7967995,100%
prepare,write,4032,33030144000,969.5,915.1,1.03,8448808.58,100%
prepare,write,4032,33030144000,910.12,856.41,1.1,9000044.14,100%
prepare,write,4032,33030144000,899.13,845.63,1.11,9110122.78,100%
prepare,write,4032,33030144000,1021.54,967.32,0.98,8018459.61,100%
prepare,write,4032,33030144000,1036.63,982.7,0.96,7901719.59,100%
prepare,write,4032,33030144000,806.04,752.35,1.24,10162020.61,100%
prepare,write,4032,33030144000,925.68,871.23,1.08,8848740.25,100%
prepare,write,4032,33030144000,999.51,945.22,1,8195166.68,100%
prepare,write,4032,33030144000,1020.24,966.18,0.98,8028647.29,100%
prepare,write,4032,33030144000,936.7,882.09,1.07,8744633.97,100%
prepare,write,4032,33030144000,1037.5,983.46,0.96,7895114.71,100%
prepare,write,4032,33030144000,1004.85,955.83,1,8151792.98,100%
prepare,write,4032,33030144000,990.28,941.06,1.01,8271761.36,100%
prepare,write,4032,33030144000,1035.5,986.11,0.97,7910553.42,100%
prepare,write,4032,33030144000,1039.47,990.1,0.96,7880347.13,100%
prepare,write,4032,33030144000,986.6,937.15,1.01,8302508.61,100%
prepare,write,4032,33030144000,1026.78,977.53,0.97,7977605.8,100%
prepare,write,4032,33030144000,1035.59,985.93,0.97,7909769.16,100%
prepare,write,4032,33030144000,1034.58,984.84,0.97,7917544.75,100%
prepare,write,3840,31457280000,812.14,763.1,1.23,10085962.53,100%
prepare,write,3840,31457280000,924.63,875.23,1.08,8858909.8,100%
prepare,write,3840,31457280000,808.77,758.93,1.24,10127799.67,100%
prepare,write,3840,31457280000,894.73,844.77,1.12,9155043.86,100%
prepare,write,3840,31457280000,980.65,931.45,1.02,8352882.17,100%
prepare,write,3840,31457280000,938.19,888.87,1.07,8730964.24,100%
prepare,write,3840,31457280000,996.8,947.3,1,8217570.77,100%
prepare,write,3840,31457280000,975.41,926.12,1.03,8397722.33,100%
