Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
23:11:32,26,36,0,0,984,849.83,984,849.83,5.08,7.05,0,0,100%,100%,0,0,0
23:11:37,185,174,0,0,1594.36,1661.15,1594.36,1661.15,31.28,29.34,0,0,100%,100%,1,1,1
23:11:42,172,179,0,0,1331.64,1423.23,1331.64,1423.23,31.73,36.94,0,0,100%,100%,2,2,2
23:11:47,152,148,0,0,1643.56,1606.86,1643.56,1606.86,35.99,24.24,0,0,100%,100%,3,3,3
23:11:52,184,132,0,0,1609.09,1601.36,1609.09,1601.36,31.1,30.17,0,0,100%,100%,4,4,4
23:11:57,325,356,0,0,801.78,588.76,801.78,588.76,60.07,69.57,0,0,100%,100%,5,5,5
23:12:02,515,721,0,0,373.73,378.73,373.73,378.73,100.77,144.41,0,0,100%,100%,6,6,6
23:12:07,698,800,0,0,370.8,326.93,370.8,326.93,140.63,160.17,0,0,100%,100%,7,7,7
23:12:12,538,836,0,0,449.42,231.33,449.42,231.33,104.44,165.15,0,0,100%,100%,8,8,8
23:12:17,336,803,0,0,735.2,367.5,735.2,367.5,64.62,160.01,0,0,100%,100%,9,9,9
23:12:22,1180,869,0,0,209.05,317.54,209.05,317.54,242.84,191.26,0,0,100%,100%,10,10,10
23:12:27,568,793,0,0,364.63,289.41,364.63,289.41,124.15,155.01,0,0,100%,100%,11,11,11
23:12:32,1828,678,0,0,130.58,206.32,130.58,206.32,369.52,135.37,0,0,100%,100%,12,12,12
23:12:37,787,712,0,0,313.47,203.7,313.47,203.7,157.67,144.19,0,0,100%,100%,13,13,13
23:12:42,872,873,0,0,277.64,409.55,277.64,409.55,169.36,174.78,0,0,100%,100%,14,14,14
23:12:47,1278,1043,0,0,172.31,269.32,172.31,269.32,270.88,206.87,0,0,100%,100%,15,15,15
23:12:52,1546,1349,0,0,155.62,147.45,155.62,147.45,317.25,268.57,0,0,100%,100%,16,16,16
23:12:57,2501,1053,0,0,84.4,222.97,84.4,222.97,507.45,207.4,0,0,100%,100%,17,17,17
23:13:02,1100,1119,0,0,258.5,286.94,258.5,286.94,208.05,228.89,0,0,100%,100%,18,18,18
23:13:07,2953,1328,0,0,75.43,177.3,75.43,177.3,542.7,273.39,0,0,100%,100%,19,19,19
23:13:12,1019,1483,0,0,221.63,170.88,221.63,170.88,202.01,290.31,0,0,100%,100%,20,20,20
23:13:17,1899,1689,0,0,125.33,135.02,125.33,135.02,371.91,334.9,0,0,100%,100%,21,21,21
23:13:22,2065,1427,0,0,125.07,161.83,125.07,161.83,415.4,284.75,0,0,100%,100%,22,22,22
23:13:27,1434,1547,0,0,137.02,146.41,137.02,146.41,289.63,325.43,0,0,100%,100%,23,23,23
23:13:32,1676,1849,0,0,166.85,129.71,166.85,129.71,333.24,397.38,0,0,100%,100%,24,24,24
23:13:37,1884,2042,0,0,134.95,117.82,134.95,117.82,372.5,405.47,0,0,100%,100%,25,25,25
23:13:42,2422,2331,0,0,102.7,106.03,102.7,106.03,477.1,475.52,0,0,100%,100%,26,26,26
23:13:47,2436,2564,0,0,100.98,95.94,100.98,95.94,482.19,506.71,0,0,100%,100%,27,27,27
23:13:52,2947,2705,0,0,80.95,88.37,80.95,88.37,584.15,534.79,0,0,100%,100%,28,28,28
23:13:57,5110,2760,0,0,48.15,86.46,48.15,86.46,1014.12,549.78,0,0,100%,100%,29,29,29
23:14:02,4471,2963,0,0,53.37,81.93,53.37,81.93,888.64,596.67,0,0,100%,100%,30,30,30
23:14:07,5310,2877,0,0,45.68,84.46,45.68,84.46,1062.23,570.17,0,0,100%,100%,31,31,31
23:14:12,2931,2958,0,0,80.84,81.81,80.84,81.81,581.64,587.12,0,0,100%,100%,32,32,32
23:14:17,3143,3083,0,0,77.02,76.94,77.02,76.94,634.48,611.31,0,0,100%,100%,33,33,33
23:14:22,3225,3186,0,0,75.05,75.95,75.05,75.95,639.83,638.86,0,0,100%,100%,34,34,34
23:14:27,3354,3209,0,0,72.14,72.28,72.14,72.28,665.43,636.43,0,0,100%,100%,35,35,35
23:14:32,3302,3333,0,0,73.57,72.76,73.57,72.76,654.43,679.5,0,0,100%,100%,36,36,36
23:14:37,3414,3401,0,0,70.77,71.14,70.77,71.14,678.46,674.97,0,0,100%,100%,37,37,37
23:14:42,3480,3462,0,0,69.54,69.89,69.54,69.89,690.15,686.82,0,0,100%,100%,38,38,38
23:14:47,3394,3381,0,0,71.3,71.53,71.3,71.53,673.21,671.05,0,0,100%,100%,39,39,39
23:14:52,3452,3372,0,0,69.97,70.26,69.97,70.26,685.97,668.89,0,0,100%,100%,40,40,40
23:14:57,3416,3445,0,0,70.7,70.16,70.7,70.16,678.94,699.37,0,0,100%,100%,41,41,41
23:15:02,3396,3389,0,0,71.28,71.38,71.28,71.38,673.34,672.47,0,0,100%,100%,42,42,42
23:15:07,3387,3395,0,0,71.51,71.22,71.51,71.22,671.3,674,0,0,100%,100%,43,43,43
23:15:12,2893,3143,0,0,80.95,77.48,80.95,77.48,569.9,620.59,0,0,100%,100%,44,44,44
23:15:17,2828,2831,0,0,82.17,86.51,82.17,86.51,584.64,560.14,0,0,100%,100%,45,45,45
23:15:22,2910,2938,0,0,81.72,81,81.72,81,588.61,581.58,0,0,100%,100%,46,46,46
23:15:27,2899,2950,0,0,80.41,82.62,80.41,82.62,577.83,585.78,0,0,100%,100%,47,47,47
23:15:32,2450,2578,0,0,97.64,92.7,97.64,92.7,492.93,507.82,0,0,100%,100%,48,48,48
23:15:37,2281,2298,0,0,106.22,107.8,106.22,107.8,454.72,451.85,0,0,100%,100%,49,49,49
23:15:42,2171,2135,0,0,115.36,113.81,115.36,113.81,426.39,416.15,0,0,100%,100%,50,50,50
23:15:47,1903,1950,0,0,124.62,126.9,124.62,126.9,371.13,380.23,0,0,100%,100%,51,51,51
23:15:52,1908,1863,0,0,122.89,119.61,122.89,119.61,377.82,366.91,0,0,100%,100%,52,52,52
23:15:57,1977,1971,0,0,126.8,126.23,126.8,126.23,412.44,405.54,0,0,100%,100%,53,53,53
23:16:02,1680,1726,0,0,144.72,146.45,144.72,146.45,331.17,348.54,0,0,100%,100%,54,54,54
23:16:07,1851,1961,0,0,128.38,123.51,128.38,123.51,369.38,382.8,0,0,100%,100%,55,55,55
23:16:12,1816,1951,0,0,134.85,129.25,134.85,129.25,360.47,383.8,0,0,100%,100%,56,56,56
23:16:17,2240,2535,0,0,103.96,95.61,103.96,95.61,442.83,503.03,0,0,100%,100%,57,57,57
23:16:22,2894,3176,0,0,80.26,76.43,80.26,76.43,574.17,629.68,0,0,100%,100%,58,58,58
23:16:27,3050,3428,0,0,75.29,70.61,75.29,70.61,611.94,680,0,0,100%,100%,59,59,59
