Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,4032,33030144000,411.03,354.42,2.43,19926029.69,100%
prepare,write,4032,33030144000,413.66,357.14,2.42,19798588.75,100%
prepare,write,4032,33030144000,368.18,312.07,2.72,22244603.37,100%
prepare,write,4032,33030144000,383.97,327.83,2.6,21329847.9,100%
prepare,write,4032,33030144000,417.25,361.1,2.4,19629124.67,100%
prepare,write,4032,33030144000,402.26,346.14,2.49,20360485.67,100%
prepare,write,4032,33030144000,414.39,358.11,2.41,19764339.26,100%
prepare,write,4032,33030144000,417.64,361.52,2.39,19611060.28,100%
prepare,write,4032,33030144000,401.07,344.82,2.49,20420490.88,100%
prepare,write,4032,33030144000,410.53,354.29,2.44,19950268.9,100%
prepare,write,4032,33030144000,384.26,328.18,2.6,21313840.58,100%
prepare,write,4032,33030144000,394.71,338.42,2.53,20750054.34,100%
prepare,write,4032,33030144000,415.3,359.34,2.41,19720760.5,100%
prepare,write,4032,33030144000,414.68,358.48,2.41,19750370.28,100%
prepare,write,4032,33030144000,378.2,322.56,2.64,21654964.43,100%
prepare,write,4032,33030144000,366.21,310.52,2.73,22364327.73,100%
prepare,write,4032,33030144000,394.9,336.26,2.53,20739748.37,100%
prepare,write,4032,33030144000,403.9,345.42,2.48,20277414.45,100%
prepare,write,4032,33030144000,391.7,333.19,2.55,20908899.51,100%
prepare,write,4032,33030144000,393.97,335.41,2.54,20788475.82,100%
prepare,write,4032,33030144000,389.27,330.79,2.57,21039259.74,100%
prepare,write,4032,33030144000,400.31,341.68,2.5,20459309.81,100%
prepare,write,4032,33030144000,382.65,324.57,2.61,21402893.62,100%
prepare,write,4032,33030144000,401.63,343.43,2.49,20391293.83,100%
prepare,write,4032,33030144000,387.78,329.23,2.58,21119922.66,100%
prepare,write,4032,33030144000,393.5,334.9,2.54,20813128.79,100%
prepare,write,4032,33030144000,385.86,326.93,2.59,21225157.26,100%
prepare,write,4032,33030144000,400.16,341.34,2.5,20466941.66,100%
prepare,write,4032,33030144000,400.62,342.19,2.5,20443253.35,100%
prepare,write,4032,33030144000,409.76,351.41,2.44,19987524.64,100%
prepare,write,4032,33030144000,382.59,324.46,2.61,21406791.43,100%
prepare,write,4032,33030144000,378.56,320.31,2.64,21634738.05,100%
prepare,write,4032,33030144000,404.54,351.46,2.47,20245782.61,100%
prepare,write,4032,33030144000,403.48,350.32,2.48,20298948.18,100%
prepare,write,4032,33030144000,401.61,348.41,2.49,20393774.09,100%
prepare,write,4032,33030144000,409.33,356.15,2.44,20009089.16,100%
prepare,write,4032,33030144000,407.04,353.57,2.46,20121412.67,100%
prepare,write,4032,33030144000,409.62,356.33,2.44,19994372.79,100%
prepare,write,4032,33030144000,411.34,357.91,2.43,19910991.08,100%
prepare,write,4032,33030144000,404.07,350.65,2.47,20269512.77,100%
prepare,write,3840,31457280000,410.94,357.5,2.43,19930244.45,100%
prepare,write,3840,31457280000,360.15,307,2.78,22741375.1,100%
prepare,write,3840,31457280000,358.07,304.54,2.79,22873047.97,100%
prepare,write,3840,31457280000,412.8,358.67,2.42,19841143.59,100%
prepare,write,3840,31457280000,364.93,312.03,2.74,22443259.16,100%
prepare,write,3840,31457280000,407.63,354.48,2.45,20091717.1,100%
prepare,write,3840,31457280000,401.8,348.41,2.49,20383417.63,100%
prepare,write,3840,31457280000,364.13,310.96,2.75,22492009.86,100%
