Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w183-s1-init-1,init-write,0,0,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) objects=r(0-0) sizes=c(0)B cprefix=s3harrier containers=r(1-12)
w183-s2-prepare-1,prepare-write,120,480000,48,194.43,194.29,200,240,280,290,320,370,51.87,207493.03,100%,100% cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB createContainer=false cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB
w183-s3-test_write-1,write,38747,152544096,24,222.77,222.75,230,280,350,430,620,5680,107.66,423853.62,100%,100% cprefix=s3harrier containers=u(1-12) objects=u(1-64) sizes=c(4)KB
w183-s4-test_read-1,read,584073,2336292000,24,14.78,3.09,10,50,50,50,50,120,1622.5,6489998.99,100%,100% cprefix=s3harrier containers=u(1-12) objects=u(1-64)
w183-s5-cleanup-1,cleanup-delete,768,0,48,187.96,187.96,100,180,440,780,1930,2170,320.56,0,100%,100% cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) deleteContainer=false cprefix=s3harrier containers=r(1-12) objects=r(1-64)
w183-s6-dispose-1,dispose-delete,0,0,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) objects=r(0-0) sizes=c(0)B cprefix=s3harrier containers=r(1-12)
w184-s1-init-1,init-write,0,0,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) cprefix=s3harrier containers=r(1-12) objects=r(0-0) sizes=c(0)B cprefix=s3harrier containers=r(1-12)
w184-s2-prepare-1,prepare-write,120,480000,48,156.32,156.3,160,180,230,280,340,420,65.05,260181.03,100%,100% cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB createContainer=false cprefix=s3harrier containers=r(1-12) objects=r(1-10) sizes=c(4)KB
w184-s3-test_write-1,write,47897,190202080,48,360.39,360.36,340,530,730,940,1410,3460,133.16,528775.88,100%,100% cprefix=s3harrier containers=u(1-12) objects=u(1-64) sizes=c(4)KB
w184-s4-test_read-1,read,1164327,4657308000,48,14.83,3.09,10,50,50,50,50,260,3234.39,12937540.24,100%,100% cprefix=s3harrier containers=u(1-12) objects=u(1-64)
w184-s5-cleanup-1,cleanup-delete,768,0,48,201.85,201.85,110,210,470,900,1620,2100,297.46,0,100%,100% cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) cprefix=s3harrier containers=r(1-12) objects=r(1-64) deleteContainer=false cprefix=s3harrier containers=r(1-12) objects=r(1-64)
