Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
01:59:03,69,49,0,0,813.49,937.63,813.49,937.63,13.52,9.59,0,0,100%,100%,0,0,0
01:59:08,250,231,0,0,821.08,957.7,821.08,957.7,45.05,40.7,0,0,100%,100%,1,1,1
01:59:13,284,240,0,0,927.85,1105.04,927.85,1105.04,63.69,51.67,0,0,100%,100%,2,2,2
01:59:18,288,240,0,0,944.6,1146.27,944.6,1146.27,50.96,41.94,0,0,100%,100%,3,3,3
01:59:23,460,271,0,0,646.03,966.49,646.03,966.49,84.18,50.44,0,0,100%,100%,4,4,4
01:59:28,602,360,0,0,298.18,745.42,298.18,745.42,113.44,65.23,0,0,100%,100%,5,5,5
01:59:33,698,328,0,0,402.11,751.22,402.11,751.22,137,60.63,0,0,100%,100%,6,6,6
01:59:38,727,343,0,0,287.61,596.95,287.61,596.95,147.65,67.03,0,0,100%,100%,7,7,7
01:59:43,931,478,0,0,286.82,401.02,286.82,401.02,180.02,95.52,0,0,100%,100%,8,8,8
01:59:48,902,627,0,0,277,491.9,277,491.9,189.42,126.6,0,0,100%,100%,9,9,9
01:59:53,959,827,0,0,282.66,294.75,282.66,294.75,186.22,161.33,0,0,100%,100%,10,10,10
01:59:58,978,791,0,0,216.63,269.69,216.63,269.69,193.05,155.58,0,0,100%,100%,11,11,11
02:00:03,1360,719,0,0,173.3,369.14,173.3,369.14,281.92,142.53,0,0,100%,100%,12,12,12
02:00:08,1028,938,0,0,213.99,254.51,213.99,254.51,204.93,189.28,0,0,100%,100%,13,13,13
02:00:13,1031,675,0,0,205.23,333.6,205.23,333.6,223.65,133.74,0,0,100%,100%,14,14,14
02:00:18,718,719,0,0,370.56,291.71,370.56,291.71,140.7,145.13,0,0,100%,100%,15,15,15
02:00:23,753,872,0,0,316.16,307.91,316.16,307.91,158.11,174.72,0,0,100%,100%,16,16,16
02:00:28,809,827,0,0,311.97,258.56,311.97,258.56,158.79,164.42,0,0,100%,100%,17,17,17
02:00:33,1171,901,0,0,203.17,277.36,203.17,277.36,233.74,186.11,0,0,100%,100%,18,18,18
02:00:38,1057,1169,0,0,228.4,214.68,228.4,214.68,217.14,229.23,0,0,100%,100%,19,19,19
02:00:43,1983,1649,0,0,125.74,149.42,125.74,149.42,392.95,323.41,0,0,100%,100%,20,20,20
02:00:48,2256,1634,0,0,106.49,147.7,106.49,147.7,437.35,316.52,0,0,100%,100%,21,21,21
02:00:53,2775,1371,0,0,85.49,176.46,85.49,176.46,544.52,267.48,0,0,100%,100%,22,22,22
02:00:58,3241,1288,0,0,67.35,169.27,67.35,169.27,663.55,253.66,0,0,100%,100%,23,23,23
02:01:03,3240,1566,0,0,83.49,176.48,83.49,176.48,652.63,322.97,0,0,100%,100%,24,24,24
02:01:08,2193,1813,0,0,103.8,137.2,103.8,137.2,427.89,358.31,0,0,100%,100%,25,25,25
02:01:13,1989,1966,0,0,134.61,127.12,134.61,127.12,391.24,385.78,0,0,100%,100%,26,26,26
02:01:18,2143,2059,0,0,113.67,112.86,113.67,112.86,421.08,412.63,0,0,100%,100%,27,27,27
02:01:23,2221,2167,0,0,111.71,115.13,111.71,115.13,438.81,434.91,0,0,100%,100%,28,28,28
02:01:28,2395,2451,0,0,102.08,99.71,102.08,99.71,472.51,483.74,0,0,100%,100%,29,29,29
02:01:33,2510,2430,0,0,96.92,96.01,96.92,96.01,496.38,480.59,0,0,100%,100%,30,30,30
02:01:38,2660,2680,0,0,91.5,91.14,91.5,91.14,526.57,548.72,0,0,100%,100%,31,31,31
02:01:43,2566,2443,0,0,89.17,91.32,89.17,91.32,506.09,482.85,0,0,100%,100%,32,32,32
02:01:48,2520,2491,0,0,93.86,92.66,93.86,92.66,500.35,511.86,0,0,100%,100%,33,33,33
02:01:53,2264,2382,0,0,99.07,97.11,99.07,97.11,458.63,482.19,0,0,100%,100%,34,34,34
02:01:58,2242,2326,0,0,108.77,114.33,108.77,114.33,464.37,460.78,0,0,100%,100%,35,35,35
02:02:03,2275,2258,0,0,107.23,106.05,107.23,106.05,464.26,446.54,0,0,100%,100%,36,36,36
02:02:08,2610,2552,0,0,93.5,94.15,93.5,94.15,524.56,517.93,0,0,100%,100%,37,37,37
02:02:13,2539,2595,0,0,96.41,94.11,96.41,94.11,500.16,516.24,0,0,100%,100%,38,38,38
02:02:18,2395,2363,0,0,100.33,101.35,100.33,101.35,473,466.94,0,0,100%,100%,39,39,39
02:02:23,2393,2538,0,0,95.1,92.07,95.1,92.07,478.69,506.44,0,0,100%,100%,40,40,40
02:02:28,2613,2560,0,0,88.95,91.09,88.95,91.09,544.68,527.3,0,0,100%,100%,41,41,41
02:02:33,2734,2534,0,0,89.87,92.38,89.87,92.38,545.66,514.59,0,0,100%,100%,42,42,42
02:02:38,2671,2754,0,0,90.81,86.63,90.81,86.63,529.28,568.4,0,0,100%,100%,43,43,43
02:02:43,2843,2776,0,0,83.62,85.66,83.62,85.66,562.9,553.8,0,0,100%,100%,44,44,44
02:02:48,2977,2987,0,0,79.76,81.27,79.76,81.27,598.31,606.41,0,0,100%,100%,45,45,45
02:02:53,3010,3031,0,0,81.02,80.18,81.02,80.18,599.17,600.08,0,0,100%,100%,46,46,46
02:02:58,2906,3020,0,0,80.42,80.31,80.42,80.31,575.02,598.38,0,0,100%,100%,47,47,47
02:03:03,2930,2811,0,0,84.51,82.98,84.51,82.98,590.79,555.35,0,0,100%,100%,48,48,48
02:03:08,2942,2904,0,0,82.59,83.9,82.59,83.9,583.15,591.83,0,0,100%,100%,49,49,49
02:03:13,3159,3056,0,0,76.93,77.68,76.93,77.68,625.96,606.25,0,0,100%,100%,50,50,50
02:03:18,3112,3171,0,0,76.27,74.91,76.27,74.91,617.88,643.3,0,0,100%,100%,51,51,51
02:03:23,3173,3167,0,0,77.03,75.04,77.03,75.04,641.48,632.91,0,0,100%,100%,52,52,52
02:03:28,3069,2930,0,0,77.38,79.48,77.38,79.48,607.82,581.3,0,0,100%,100%,53,53,53
02:03:33,3052,2990,0,0,78.47,79.73,78.47,79.73,605.96,599.31,0,0,100%,100%,54,54,54
02:03:38,3316,3313,0,0,72.94,73,72.94,73,667.78,671.88,0,0,100%,100%,55,55,55
02:03:43,3395,3435,0,0,71.24,70.37,71.24,70.37,673.79,682.08,0,0,100%,100%,56,56,56
02:03:48,3149,3427,0,0,70.52,70.57,70.52,70.57,623.99,680.26,0,0,100%,100%,57,57,57
02:03:53,3416,3481,0,0,69.33,69.44,69.33,69.44,737.24,691.16,0,0,100%,100%,58,58,58
02:03:58,3428,3354,0,0,69.16,69.13,69.16,69.13,694.96,665.38,0,0,100%,100%,59,59,59
02:04:03,3515,3450,0,0,68.39,68.66,68.39,68.66,715.33,714.31,0,0,100%,100%,60,60,60
02:04:08,3497,3610,0,0,67.69,66.98,67.69,66.98,694.31,731.83,0,0,100%,100%,61,61,61
02:04:13,3460,3645,0,0,67.96,66.34,67.96,66.34,691.26,723.48,0,0,100%,100%,62,62,62
02:04:18,3403,3669,0,0,68,65.87,68,65.87,690.89,728.7,0,0,100%,100%,62,62,63
02:04:23,3104,3674,0,0,69.6,65.77,69.6,65.77,630.18,729.93,0,0,100%,100%,62,63,64
02:04:28,3163,3822,0,0,68.22,63.2,68.22,63.2,657.74,759.64,0,0,100%,100%,62,64,65
02:04:33,3069,3732,0,0,70.63,64.81,70.63,64.81,649.99,740.73,0,0,100%,100%,62,65,66
02:04:38,2981,3709,0,0,71.67,65.13,71.67,65.13,612.62,737.18,0,0,100%,100%,62,66,67
02:04:43,2910,3796,0,0,69.77,62.3,69.77,62.3,600.12,754.65,0,0,100%,100%,62,67,68
02:04:48,2680,3710,0,0,77.19,65.24,77.19,65.24,581.42,749.66,0,0,100%,100%,62,68,69
02:04:53,2417,3598,0,0,80.35,67.32,80.35,67.32,514.04,714.18,0,0,100%,100%,62,69,70
02:04:58,2537,3921,0,0,75.21,61.64,75.21,61.64,531.91,779.27,0,0,100%,100%,62,70,71
02:05:03,2612,4181,0,0,69.97,57.85,69.97,57.85,554.99,830.34,0,0,100%,100%,62,71,72
02:05:08,2663,4284,0,0,67.91,56.4,67.91,56.4,556.36,851.55,0,0,100%,100%,62,72,73
02:05:13,2603,4260,0,0,69.26,56.69,69.26,56.69,546.16,847.07,0,0,100%,100%,62,73,74
02:05:18,2425,4202,0,0,68.62,56.24,68.62,56.24,520.97,836.08,0,0,100%,100%,62,74,75
02:05:23,2374,4483,0,0,67.62,53.92,67.62,53.92,514.47,915.68,0,0,100%,100%,62,75,76
02:05:28,2447,4471,0,0,67.49,54.02,67.49,54.02,530.16,888.81,0,0,100%,100%,62,76,77
02:05:33,2260,4506,0,0,68.41,53.58,68.41,53.58,493.49,896.19,0,0,100%,100%,62,77,78
02:05:38,2207,4598,0,0,67.91,52.47,67.91,52.47,482.38,914.97,0,0,100%,100%,62,77,79
02:05:43,2109,4625,0,0,67.81,51.08,67.81,51.08,468.04,920.2,0,0,100%,100%,62,78,80
02:05:48,2055,4887,0,0,67.92,49.35,67.92,49.35,467.27,987.31,0,0,100%,100%,62,79,81
02:05:53,1986,4915,0,0,67.75,48.06,67.75,48.06,453.62,978.2,0,0,100%,100%,62,80,82
02:05:58,1830,4965,0,0,67.51,47.58,67.51,47.58,425.23,1003.28,0,0,100%,100%,62,81,83
02:06:03,1760,5192,0,0,67.28,46.43,67.28,46.43,427.35,1058.68,0,0,100%,100%,62,82,84
02:06:08,1640,5321,0,0,67.85,45.32,67.85,45.32,407.03,1059.37,0,0,100%,100%,62,82,85
02:06:13,1525,5357,0,0,68.56,45.01,68.56,45.01,389.38,1066.7,0,0,100%,100%,62,83,86
02:06:18,1434,5497,0,0,67.92,43.82,67.92,43.82,377.59,1095.37,0,0,100%,100%,62,84,87
02:06:23,1298,5574,0,0,69.61,43.26,69.61,43.26,356.35,1109.82,0,0,100%,100%,62,84,88
02:06:28,1195,5768,0,0,68.28,41.79,68.28,41.79,361.67,1148.99,0,0,100%,100%,62,85,89
02:06:33,1083,5892,0,0,67.71,40.91,67.71,40.91,367.49,1173.25,0,0,100%,100%,62,86,90
02:06:38,1083,5954,0,0,67.71,40.49,67.71,40.49,367.49,1185.27,0,0,100%,100%,62,86,91
02:06:43,1083,5744,0,0,67.71,40.22,67.71,40.22,367.49,1143.54,0,0,100%,100%,62,87,92
02:06:48,1083,6000,0,0,67.71,40.18,67.71,40.18,367.49,1244.17,0,0,100%,100%,62,87,93
02:06:53,1083,5995,0,0,67.71,40.21,67.71,40.21,367.49,1193.6,0,0,100%,100%,62,88,94
02:06:58,1083,5987,0,0,67.71,40.27,67.71,40.27,367.49,1191.75,0,0,100%,100%,62,88,95
02:07:03,1083,5988,0,0,67.71,40.26,67.71,40.26,367.49,1192.08,0,0,100%,100%,62,89,96
02:07:08,1083,5992,0,0,67.71,40.22,67.71,40.22,367.49,1193.12,0,0,100%,100%,62,89,97
02:07:13,1083,5990,0,0,67.71,40.22,67.71,40.22,367.49,1193.17,0,0,100%,100%,62,90,98
02:07:18,1083,5990,0,0,67.71,40.24,67.71,40.24,367.49,1192.66,0,0,100%,100%,62,90,99
02:07:23,1083,5993,0,0,67.71,40.22,67.71,40.22,367.49,1193.25,0,0,100%,100%,62,91,100
02:07:28,1083,5997,0,0,67.71,40.21,67.71,40.21,367.49,1193.71,0,0,100%,100%,62,91,101
02:07:33,1083,5994,0,0,67.71,40.19,67.71,40.19,367.49,1194.02,0,0,100%,100%,62,92,102
02:07:38,1083,5983,0,0,67.71,40.26,67.71,40.26,367.49,1191.86,0,0,100%,100%,62,92,103
02:07:43,1083,5990,0,0,67.71,40.21,67.71,40.21,367.49,1193.41,0,0,100%,100%,62,93,104
02:07:48,1083,5994,0,0,67.71,40.23,67.71,40.23,367.49,1192.82,0,0,100%,100%,62,93,105
02:07:53,1083,5990,0,0,67.71,40.23,67.71,40.23,367.49,1192.93,0,0,100%,100%,62,94,106
02:07:58,1083,5997,0,0,67.71,40.2,67.71,40.2,367.49,1193.97,0,0,100%,100%,62,94,107
02:08:03,1083,6005,0,0,67.71,40.16,67.71,40.16,367.49,1194.97,0,0,100%,100%,62,95,108
02:08:08,1083,5872,0,0,67.71,40.19,67.71,40.19,367.49,1169.1,0,0,100%,100%,62,95,109
02:08:13,1083,5987,0,0,67.71,40.24,67.71,40.24,367.49,1217.55,0,0,100%,100%,62,96,110
02:08:18,1083,5862,0,0,67.71,40.25,67.71,40.25,367.49,1167.45,0,0,100%,100%,62,96,111
02:08:23,1083,5997,0,0,67.71,40.19,67.71,40.19,367.49,1219,0,0,100%,100%,62,97,112
02:08:28,1083,6004,0,0,67.71,40.16,67.71,40.16,367.49,1195.14,0,0,100%,100%,62,97,113
02:08:33,1083,5986,0,0,67.71,40.23,67.71,40.23,367.49,1193.03,0,0,100%,100%,62,98,114
02:08:38,1083,5865,0,0,67.71,40.22,67.71,40.22,367.49,1168.39,0,0,100%,100%,62,98,115
02:08:43,1083,5868,0,0,67.71,40.22,67.71,40.22,367.49,1193.24,0,0,100%,100%,62,99,116
02:08:48,1083,5874,0,0,67.71,40.19,67.71,40.19,367.49,1193.96,0,0,100%,100%,62,99,117
02:08:53,1083,5995,0,0,67.71,40.2,67.71,40.2,367.49,1218.78,0,0,100%,100%,62,100,118
02:08:58,1083,5992,0,0,67.71,40.21,67.71,40.21,367.49,1193.71,0,0,100%,100%,62,100,119
02:09:03,1083,5988,0,0,67.71,40.23,67.71,40.23,367.49,1192.92,0,0,100%,100%,62,101,120
02:09:08,1083,5995,0,0,67.71,40.21,67.71,40.21,367.49,1193.57,0,0,100%,100%,62,101,121
02:09:13,1083,5992,0,0,67.71,40.24,67.71,40.24,367.49,1192.64,0,0,100%,100%,62,102,122
02:09:18,1083,5996,0,0,67.71,40.19,67.71,40.19,367.49,1194.13,0,0,100%,100%,62,102,123
02:09:23,1083,5869,0,0,67.71,40.22,67.71,40.22,367.49,1168.46,0,0,100%,100%,62,103,124
02:09:28,1083,5988,0,0,67.71,40.26,67.71,40.26,367.49,1217.07,0,0,100%,100%,62,103,125
02:09:33,1083,5998,0,0,67.71,40.19,67.71,40.19,367.49,1194.24,0,0,100%,100%,62,104,126
02:09:38,1083,5067,0,0,67.71,173.8,67.71,173.8,367.49,819.77,0,0,100%,100%,62,104,127
02:09:43,1083,5992,0,0,67.71,40.22,67.71,40.22,367.49,1193.17,0,0,100%,100%,62,105,128
02:09:48,1083,5871,0,0,67.71,40.22,67.71,40.22,367.49,1168.5,0,0,100%,100%,62,105,129
02:09:53,1083,5993,0,0,67.71,40.21,67.71,40.21,367.49,1218.41,0,0,100%,100%,62,106,130
02:09:58,1083,5999,0,0,67.71,40.19,67.71,40.19,367.49,1194.01,0,0,100%,100%,62,106,131
02:10:03,1083,6003,0,0,67.71,40.16,67.71,40.16,367.49,1195.13,0,0,100%,100%,62,107,132
02:10:08,1083,5992,0,0,67.71,40.24,67.71,40.24,367.49,1192.6,0,0,100%,100%,62,107,133
02:10:13,1083,5990,0,0,67.71,40.24,67.71,40.24,367.49,1192.59,0,0,100%,100%,62,108,134
02:10:18,1083,5999,0,0,67.71,40.21,67.71,40.21,367.49,1193.72,0,0,100%,100%,62,108,135
02:10:23,1083,5994,0,0,67.71,40.2,67.71,40.2,367.49,1193.84,0,0,100%,100%,62,109,136
02:10:28,1083,5997,0,0,67.71,40.19,67.71,40.19,367.49,1194.18,0,0,100%,100%,62,109,137
02:10:33,1083,6000,0,0,67.71,40.17,67.71,40.17,367.49,1194.82,0,0,100%,100%,62,110,138
02:10:38,1083,5999,0,0,67.71,40.16,67.71,40.16,367.49,1194.89,0,0,100%,100%,62,110,139
02:10:43,1083,5995,0,0,67.71,40.2,67.71,40.2,367.49,1193.81,0,0,100%,100%,62,111,140
