Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,4032,4128768000,228.64,222,4.37,4477104.65,100%
prepare,write,4032,4128768000,219.96,213.26,4.54,4653800.46,100%
prepare,write,4032,4128768000,239.83,233.32,4.17,4268351.64,100%
prepare,write,4032,4128768000,221.62,215.03,4.51,4618877.04,100%
prepare,write,4032,4128768000,238.68,232.12,4.19,4288827.02,100%
prepare,write,4032,4128768000,252.02,245.44,3.97,4061849.04,100%
prepare,write,4032,4128768000,241.56,234.99,4.14,4237671.93,100%
prepare,write,4032,4128768000,227.87,221.27,4.39,4492224.94,100%
prepare,write,4032,4128768000,235.64,229.1,4.24,4344210.43,100%
prepare,write,4032,4128768000,259.1,252.71,3.86,3951019.53,100%
prepare,write,4032,4128768000,240.66,234.07,4.15,4253686,100%
prepare,write,4032,4128768000,232.95,226.37,4.29,4394208.98,100%
prepare,write,4032,4128768000,225.07,218.51,4.44,4548037.98,100%
prepare,write,4032,4128768000,241.26,234.73,4.14,4242993.63,100%
prepare,write,4032,4128768000,237.79,231.23,4.2,4304952.49,100%
prepare,write,4032,4128768000,231.08,224.59,4.33,4429775.69,100%
prepare,write,4032,4128768000,249.84,243.27,4,4097455.25,100%
prepare,write,4032,4128768000,253.2,246.69,3.95,4042952.29,100%
prepare,write,4032,4128768000,240.84,234.28,4.15,4250379.87,100%
prepare,write,4032,4128768000,210.58,204.04,4.75,4860873.95,100%
prepare,write,4032,4128768000,257.05,250.53,3.89,3982502.63,100%
prepare,write,4032,4128768000,241.35,234.77,4.14,4241380.9,100%
prepare,write,4032,4128768000,242.56,235.98,4.12,4220258.99,100%
prepare,write,4032,4128768000,239.01,232.45,4.18,4282874.39,100%
prepare,write,4032,4128768000,249.09,242.56,4.01,4109600.82,100%
prepare,write,4032,4128768000,254.51,247.99,3.93,4022207.65,100%
prepare,write,4032,4128768000,198.23,191.8,5.04,5163606.35,100%
prepare,write,4032,4128768000,246.89,240.33,4.05,4146186.13,100%
prepare,write,4032,4128768000,249.02,242.41,4.01,4110840.62,100%
prepare,write,4032,4128768000,203.08,196.57,4.92,5040215.34,100%
prepare,write,4032,4128768000,208.58,202.08,4.79,4907435.74,100%
prepare,write,4032,4128768000,240.7,234.18,4.15,4252634.48,100%
prepare,write,4032,4128768000,249.92,243.92,4,4096065.02,100%
prepare,write,4032,4128768000,245.21,239.21,4.08,4174748.68,100%
prepare,write,4032,4128768000,244.49,238.47,4.09,4186945.61,100%
prepare,write,4032,4128768000,256.89,250.88,3.89,3984812.66,100%
prepare,write,4032,4128768000,243.79,237.74,4.1,4199137.14,100%
prepare,write,4032,4128768000,254.8,248.77,3.92,4017690.9,100%
prepare,write,4032,4128768000,252.87,246.84,3.95,4048137.2,100%
prepare,write,4032,4128768000,244.01,237.93,4.1,4195459.02,100%
prepare,write,3840,3932160000,254.6,248.58,3.93,4020909.51,100%
prepare,write,3840,3932160000,212.47,206.5,4.7,4817790.3,100%
prepare,write,3840,3932160000,215.92,209.82,4.63,4740946.51,100%
prepare,write,3840,3932160000,248.74,242.64,4.02,4115561.78,100%
prepare,write,3840,3932160000,233.36,227.33,4.28,4386838.24,100%
prepare,write,3840,3932160000,210.7,204.71,4.74,4858183.15,100%
prepare,write,3840,3932160000,214.26,208.18,4.67,4777697.86,100%
prepare,write,3840,3932160000,217.27,211.14,4.6,4711238.7,100%
