config,timestamp,fio_pattern,ioengine,direct,iodepth,job_name,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
mdraid4k,1580352550696,randread,libaio,1,32,direct-randread-16k,16k,1,360,967606272,2686653,2621.561111,163.647222,0,0,0,0
mdraid4k,1580353633593,randread,libaio,1,32,direct-randread-1M,1M,1,360,43814748160,121637354,118653.4625,115.516667,0,0,0,0
mdraid4k,1580353994689,randread,libaio,1,32,direct-randread-2M,2M,1,360,66584576000,184788792,180281.881944,87.668056,0,0,0,0
mdraid4k,1580352911698,randread,libaio,1,32,direct-randread-32k,32k,1,360,1918861312,5327314,5199.883333,162.338889,0,0,0,0
mdraid4k,1580351828764,randread,libaio,1,32,direct-randread-4k,4k,1,360,450220032,1250059,1220.266667,305.009722,0,0,0,0
mdraid4k,1580353272657,randread,libaio,1,32,direct-randread-512k,512k,1,360,25292701696,70216545,68501.609722,133.454167,0,0,0,0
mdraid4k,1580352189761,randread,libaio,1,32,direct-randread-8k,8k,1,360,485949440,1349169,1316.870833,164.476389,0,0,0,0
mdraid4k,1580350023624,randrw,libaio,1,32,direct-randrw-16k,16k,1,360,432128000,1199652,1170.845833,72.933333,432095232,1199561,1170.384722,72.905556
mdraid4k,1580351106530,randrw,libaio,1,32,direct-randrw-1M,1M,1,360,20412628992,56660353,55267.659722,53.513889,20425211904,56695280,55306.973611,53.552778
mdraid4k,1580351467726,randrw,libaio,1,32,direct-randrw-2M,2M,1,360,31817990144,88286926,86197.127778,41.747222,31771852800,88158906,85991.468056,41.647222
mdraid4k,1580350384564,randrw,libaio,1,32,direct-randrw-32k,32k,1,360,855703552,2375858,2318.623611,72.155556,855441408,2375130,2316.663889,72.094444
mdraid4k,1580349301631,randrw,libaio,1,32,direct-randrw-4k,4k,1,360,201867264,560522,547.025,136.618056,200613888,557042,543.4875,135.731944
mdraid4k,1580350745531,randrw,libaio,1,32,direct-randrw-512k,512k,1,360,11639717888,32313072,31524.495833,61.130556,11605114880,32217010,31421.723611,60.930556
mdraid4k,1580349662633,randrw,libaio,1,32,direct-randrw-8k,8k,1,360,217833472,604775,590.022222,73.476389,217735168,604502,589.5,73.4125
mdraid4k,1580355077766,randwrite,libaio,1,32,direct-randwrite-16k,16k,1,360,0,0,0,0,792920064,2201198,2148.418056,134.122222
mdraid4k,1580356160718,randwrite,libaio,1,32,direct-randwrite-1M,1M,1,360,0,0,0,0,38705037312,107429839,104790.6,101.906944
mdraid4k,1580356521870,randwrite,libaio,1,32,direct-randwrite-2M,2M,1,360,0,0,0,0,61301850112,170115636,165991.956944,80.751389
mdraid4k,1580355438755,randwrite,libaio,1,32,direct-randwrite-32k,32k,1,360,0,0,0,0,1572405248,4365003,4259.05,132.806944
mdraid4k,1580354355761,randwrite,libaio,1,32,direct-randwrite-4k,4k,1,360,0,0,0,0,371728384,1031965,1007.391667,251.759722
mdraid4k,1580355799707,randwrite,libaio,1,32,direct-randwrite-512k,512k,1,360,0,0,0,0,21801467904,60526511,59039.248611,114.95
mdraid4k,1580354716750,randwrite,libaio,1,32,direct-randwrite-8k,8k,1,360,0,0,0,0,398467072,1106312,1079.345833,134.727778
mdraid4k,1580347497374,read,libaio,1,32,direct-read-16k,16k,1,360,30173216768,83813792,81782.513889,5111.173611,0,0,0,0
mdraid4k,1580348579748,read,libaio,1,32,direct-read-1M,1M,1,360,193457029120,537285119,524400.997222,511.877778,0,0,0,0
mdraid4k,1580348940627,read,libaio,1,32,direct-read-2M,2M,1,360,193852342272,538290326,525330.204167,256.348611,0,0,0,0
mdraid4k,1580347858151,read,libaio,1,32,direct-read-32k,32k,1,360,50547228672,140407018,137015.5625,4281.55,0,0,0,0
mdraid4k,1580346775877,read,libaio,1,32,direct-read-4k,4k,1,360,17225814016,47849084,46685.281944,11671.0875,0,0,0,0
mdraid4k,1580348218930,read,libaio,1,32,direct-read-512k,512k,1,360,193435533312,537273168,524207.208333,1023.509722,0,0,0,0
mdraid4k,1580347136619,read,libaio,1,32,direct-read-8k,8k,1,360,16325189632,45347371,44259.256944,5532.279167,0,0,0,0
mdraid4k,1580344971854,write,libaio,1,32,direct-write-16k,16k,1,360,0,0,0,0,20214546432,56151049,54786.544444,3423.997222
mdraid4k,1580346054226,write,libaio,1,32,direct-write-1M,1M,1,360,0,0,0,0,193178107904,536510475,523450.355556,510.826389
mdraid4k,1580346415139,write,libaio,1,32,direct-write-2M,2M,1,360,0,0,0,0,193007190016,535943503,522984.097222,255.176389
mdraid4k,1580345332645,write,libaio,1,32,direct-write-32k,32k,1,360,0,0,0,0,39110410240,108636708,106004.409722,3312.513889
mdraid4k,1580344250308,write,libaio,1,32,direct-write-4k,4k,1,360,0,0,0,0,6555656192,18209700,17765.275,4441.155556
mdraid4k,1580345693410,write,libaio,1,32,direct-write-512k,512k,1,360,0,0,0,0,193135116288,536438750,523382.241667,1021.884722
mdraid4k,1580344611087,write,libaio,1,32,direct-write-8k,8k,1,360,0,0,0,0,10180493312,28278519,27593.8625,3449.019444
