config,timestamp,fio_pattern,ioengine,direct,iodepth,job_name,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
mdraid128k,1580434926972,randread,libaio,1,32,direct-randread-16k,0016k,1,360,1780924416,4945308,4826.715278,301.563889,0,0,0,0
mdraid128k,1580436009859,randread,libaio,1,32,direct-randread-1M,1024k,1,360,43890245632,121845257,118858.493056,115.708333,0,0,0,0
mdraid128k,1580436370924,randread,libaio,1,32,direct-randread-2M,2048k,1,360,66637004800,184943020,180443.183333,87.790278,0,0,0,0
mdraid128k,1580435287908,randread,libaio,1,32,direct-randread-32k,0032k,1,360,3496706048,9709080,9475.375,295.961111,0,0,0,0
mdraid128k,1580434205104,randread,libaio,1,32,direct-randread-4k,0004k,1,360,448303104,1244861,1215.101389,303.720833,0,0,0,0
mdraid128k,1580435648887,randread,libaio,1,32,direct-randread-512k,0512k,1,360,25308430336,70258649,68568.555556,133.7125,0,0,0,0
mdraid128k,1580434566047,randread,libaio,1,32,direct-randread-8k,0008k,1,360,895336448,2486175,2426.543056,303.216667,0,0,0,0
mdraid128k,1580432400048,randrw,libaio,1,32,direct-randrw-16k,0016k,1,360,798212096,2216295,2163.131944,134.975,793100288,2202102,2149.093056,134.097222
mdraid128k,1580433483040,randrw,libaio,1,32,direct-randrw-1M,1024k,1,360,20453523456,56772448,55404.422222,53.718056,20476592128,56836479,55437.998611,53.751389
mdraid128k,1580433844120,randrw,libaio,1,32,direct-randrw-2M,2048k,1,360,31759269888,88154567,86010.691667,41.665278,31706841088,88009040,85845.431944,41.584722
mdraid128k,1580432760989,randrw,libaio,1,32,direct-randrw-32k,0032k,1,360,1570766848,4360975,4255.894444,132.684722,1560870912,4333501,4228.5375,131.829167
mdraid128k,1580431678136,randrw,libaio,1,32,direct-randrw-4k,0004k,1,360,202498048,562224,548.763889,137.069444,201244672,558744,545.272222,136.197222
mdraid128k,1580433121994,randrw,libaio,1,32,direct-randrw-512k,0512k,1,360,11661213696,32371308,31589.526389,61.275,11625037824,32270885,31471.511111,61.044444
mdraid128k,1580432039128,randrw,libaio,1,32,direct-randrw-8k,0008k,1,360,401997824,1116167,1089.393056,135.973611,399351808,1108820,1081.979167,135.048611
mdraid128k,1580437453863,randwrite,libaio,1,32,direct-randwrite-16k,0016k,1,360,0,0,0,0,1460305920,4054569,3956.438889,247.076389
mdraid128k,1580438536831,randwrite,libaio,1,32,direct-randwrite-1M,1024k,1,360,0,0,0,0,38692454400,107405347,104787.609722,102.023611
mdraid128k,1580438897940,randwrite,libaio,1,32,direct-randwrite-2M,2048k,1,360,0,0,0,0,61457039360,170559547,166404.038889,80.933333
mdraid128k,1580437814807,randwrite,libaio,1,32,direct-randwrite-32k,0032k,1,360,0,0,0,0,2884173824,8007990,7815.245833,244.05
mdraid128k,1580436731926,randwrite,libaio,1,32,direct-randwrite-4k,0004k,1,360,0,0,0,0,371654656,1031981,1007.1875,251.706944
mdraid128k,1580438175812,randwrite,libaio,1,32,direct-randwrite-512k,0512k,1,360,0,0,0,0,21805662208,60534290,59055.5,115.005556
mdraid128k,1580437092904,randwrite,libaio,1,32,direct-randwrite-8k,0008k,1,360,0,0,0,0,738500608,2050410,2001.481944,250.075
mdraid128k,1580429873821,read,libaio,1,32,direct-read-16k,0016k,1,360,53186412544,147738393,144148.736111,9009.094444,0,0,0,0
mdraid128k,1580430956216,read,libaio,1,32,direct-read-1M,1024k,1,360,192870875136,535658690,522830.159722,510.381944,0,0,0,0
mdraid128k,1580431317100,read,libaio,1,32,direct-read-2M,2048k,1,360,193883799552,538376182,525317.295833,256.295833,0,0,0,0
mdraid128k,1580430234580,read,libaio,1,32,direct-read-32k,0032k,1,360,92859105280,257939093,251740.230556,7866.790278,0,0,0,0
mdraid128k,1580429152301,read,libaio,1,32,direct-read-4k,0004k,1,360,17349406720,48192394,47016.191667,11753.875,0,0,0,0
mdraid128k,1580430595384,read,libaio,1,32,direct-read-512k,0512k,1,360,193032355840,536153330,523198.270833,1021.618056,0,0,0,0
mdraid128k,1580429513055,read,libaio,1,32,direct-read-8k,0008k,1,360,31248580608,86800648,84702.377778,10587.520833,0,0,0,0
mdraid128k,1580427348241,write,libaio,1,32,direct-write-16k,0016k,1,360,0,0,0,0,27824209920,77287110,75403.026389,4712.476389
mdraid128k,1580428430611,write,libaio,1,32,direct-write-1M,1024k,1,360,0,0,0,0,193014530048,536057662,522983.155556,510.330556
mdraid128k,1580428791550,write,libaio,1,32,direct-write-2M,2048k,1,360,0,0,0,0,193546158080,537437128,524502.943056,255.945833
mdraid128k,1580427709007,write,libaio,1,32,direct-write-32k,0032k,1,360,0,0,0,0,61308108800,170298410,166172.651389,5192.704167
mdraid128k,1580426626743,write,libaio,1,32,direct-write-4k,0004k,1,360,0,0,0,0,7063478272,19620064,19141.052778,4785.097222
mdraid128k,1580428069824,write,libaio,1,32,direct-write-512k,0512k,1,360,0,0,0,0,193332248576,536986291,523998.311111,1023.120833
mdraid128k,1580426987486,write,libaio,1,32,direct-write-8k,0008k,1,360,0,0,0,0,12851478528,35698154,34836.359722,4354.3875
