config,timestamp,fio_pattern,ioengine,direct,iodepth,job_name,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
mdraid8k,1580372435482,randread,libaio,1,32,direct-randread-16k,16k,1,360,967917568,2687502,2622.375,163.697222,0,0,0,0
mdraid8k,1580373518410,randread,libaio,1,32,direct-randread-1M,1M,1,360,43899682816,121877546,118878.831944,115.718056,0,0,0,0
mdraid8k,1580373879460,randread,libaio,1,32,direct-randread-2M,2M,1,360,66592964608,184838747,180316.863889,87.7125,0,0,0,0
mdraid8k,1580372796438,randread,libaio,1,32,direct-randread-32k,32k,1,360,1919746048,5329948,5200.863889,162.2875,0,0,0,0
mdraid8k,1580371713565,randread,libaio,1,32,direct-randread-4k,4k,1,360,448991232,1246733,1216.861111,304.152778,0,0,0,0
mdraid8k,1580373157473,randread,libaio,1,32,direct-randread-512k,512k,1,360,25286934528,70194688,68502.7125,133.544444,0,0,0,0
mdraid8k,1580372074534,randread,libaio,1,32,direct-randread-8k,8k,1,360,896868352,2490318,2431.405556,303.873611,0,0,0,0
mdraid8k,1580369908430,randrw,libaio,1,32,direct-randrw-16k,16k,1,360,432734208,1201505,1172.431944,72.980556,432635904,1201232,1171.520833,72.925
mdraid8k,1580370991420,randrw,libaio,1,32,direct-randrw-1M,1M,1,360,20441989120,56744527,55389.480556,53.748611,20465057792,56808563,55401.240278,53.759722
mdraid8k,1580371352542,randrw,libaio,1,32,direct-randrw-2M,2M,1,360,31849447424,88379852,86245.238889,41.670833,31799115776,88240185,86063.872222,41.581944
mdraid8k,1580370269399,randrw,libaio,1,32,direct-randrw-32k,32k,1,360,856981504,2379189,2322.290278,72.333333,856686592,2378370,2320.601389,72.280556
mdraid8k,1580369186522,randrw,libaio,1,32,direct-randrw-4k,4k,1,360,202309632,561744,548.298611,136.956944,201056256,558264,544.765278,136.073611
mdraid8k,1580370630390,randrw,libaio,1,32,direct-randrw-512k,512k,1,360,11640766464,32315893,31535.763889,61.272222,11606687744,32221287,31434.873611,61.075
mdraid8k,1580369547484,randrw,libaio,1,32,direct-randrw-8k,8k,1,360,402669568,1118045,1091.483333,136.295833,400031744,1110721,1084.0875,135.370833
mdraid8k,1580374962527,randwrite,libaio,1,32,direct-randwrite-16k,16k,1,360,0,0,0,0,794050560,2204287,2150.672222,134.147222
mdraid8k,1580376045523,randwrite,libaio,1,32,direct-randwrite-1M,1M,1,360,0,0,0,0,38709231616,107439393,104820.3875,102.006944
mdraid8k,1580376406583,randwrite,libaio,1,32,direct-randwrite-2M,2M,1,360,0,0,0,0,61347987456,170274383,166114.1625,80.806944
mdraid8k,1580375323491,randwrite,libaio,1,32,direct-randwrite-32k,32k,1,360,0,0,0,0,1572143104,4365027,4258.309722,132.788889
mdraid8k,1580374240494,randwrite,libaio,1,32,direct-randwrite-4k,4k,1,360,0,0,0,0,372023296,1032944,1008.198611,251.955556
mdraid8k,1580375684463,randwrite,libaio,1,32,direct-randwrite-512k,512k,1,360,0,0,0,0,21774729216,60447411,58963.398611,114.779167
mdraid8k,1580374601509,randwrite,libaio,1,32,direct-randwrite-8k,8k,1,360,0,0,0,0,737501184,2047562,1998.8125,249.748611
mdraid8k,1580367382288,read,libaio,1,32,direct-read-16k,16k,1,360,29455384576,81819603,79830.651389,4989.233333,0,0,0,0
mdraid8k,1580368464623,read,libaio,1,32,direct-read-1M,1M,1,360,193459126272,537290943,524176.95,511.506944,0,0,0,0
mdraid8k,1580368825518,read,libaio,1,32,direct-read-2M,2M,1,360,193938325504,538526094,525454.590278,256.358333,0,0,0,0
mdraid8k,1580367743057,read,libaio,1,32,direct-read-32k,32k,1,360,50997067776,141656160,138232.9625,4319.613889,0,0,0,0
mdraid8k,1580366660799,read,libaio,1,32,direct-read-4k,4k,1,360,17210249216,47805849,46646.944444,11661.519444,0,0,0,0
mdraid8k,1580368103853,read,libaio,1,32,direct-read-512k,512k,1,360,193065910272,536246528,523231.368056,1021.625,0,0,0,0
mdraid8k,1580367021528,read,libaio,1,32,direct-read-8k,8k,1,360,31479701504,87442886,85304.861111,10662.811111,0,0,0,0
mdraid8k,1580364856677,write,libaio,1,32,direct-write-16k,16k,1,360,0,0,0,0,20192690176,56090338,54730.844444,3420.502778
mdraid8k,1580365939155,write,libaio,1,32,direct-write-1M,1M,1,360,0,0,0,0,193246265344,536698277,523830.068056,511.333333
mdraid8k,1580366300066,write,libaio,1,32,direct-write-2M,2M,1,360,0,0,0,0,193294499840,536741306,523731.423611,255.526389
mdraid8k,1580365217459,write,libaio,1,32,direct-write-32k,32k,1,360,0,0,0,0,38982090752,108281179,105644.029167,3301.222222
mdraid8k,1580364135113,write,libaio,1,32,direct-write-4k,4k,1,360,0,0,0,0,6653267968,18481248,18035.883171,4508.808067
mdraid8k,1580365578249,write,libaio,1,32,direct-write-512k,512k,1,360,0,0,0,0,193163952128,536518843,523514.583333,1022.184722
mdraid8k,1580364495900,write,libaio,1,32,direct-write-8k,8k,1,360,0,0,0,0,13548437504,37633607,36724.297222,4590.369444
