ObjSize,Workers,Op-Type,Op-Count,Byte-Count ,Avg-ResTime,Avg-ProcTime,60%-ResTime ,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime ,100%-ResTime,Throughput,Bandwidth,Succ-Ratio
0064K,240,write,73559,4146841600,1158.93,1158.54,630,1600,2750,5280,10170,13840,207.08,11674061.94,100%
4096K,048,write,65590,241827168256,263.24,240.74,270,360,450,540,750,1600,182.28,672063020.5,100%
4096K,336,write,73774,261897244672,1623.22,1601,710,2720,5090,8070,10280,13160,207,734842546.8,100%
0256K,096,write,70709,16045817856,487.34,485.91,360,620,1060,1910,3300,4950,196.96,44694588.18,100%
0064K,360,write,74823,4193675776,1706.14,1705.76,1000,2560,5100,7190,13140,16370,211,11826400.34,100%
4096K,312,write,75237,265163864064,1483.48,1461.17,1050,2650,4030,5680,8340,13940,210.29,741137975.26,100%
1024K,384,write,75595,66753734656,1806.19,1800.73,1030,2620,5680,8660,12470,15960,212.62,187748811.98,100%
0004K,384,write,75222,299199520,1812,1811.98,1070,2840,5200,7540,13480,18840,211.91,842862.22,100%
0256K,256,write,75074,16629843968,1221.41,1220.01,900,2150,3430,4550,6400,9570,209.58,46424734.63,100%
1024K,288,write,73653,65369618432,1397.71,1392.24,680,2410,4680,6100,7960,13470,206.05,182873644.01,100%
0016K,384,write,75339,1103311104,1817.62,1817.52,1130,3160,5740,7230,10930,17160,211.25,3093699.73,100%
0004K,336,write,73686,293258528,1619.83,1619.81,710,2110,4760,7590,14600,18000,207.42,825516.21,100%
8192K,096,write,59074,421158248448,584.38,534.17,570,830,1120,1410,2100,4520,164.25,1170990269.72,100%
4096K,360,write,75768,266711021568,1693.91,1671.77,1250,3030,4750,6290,9210,14030,212.52,748072676.68,100%
0004K,312,write,71079,282978880,1557.59,1557.57,470,1390,3300,12950,16090,18610,200.3,797445.43,100%
0016K,336,write,73076,1077075968,1634.97,1634.87,610,2130,6450,8820,11590,14270,205.51,3029025.87,100%
1024K,096,write,70650,63800492032,488.47,482.95,370,680,1150,1730,2950,5050,196.5,177446539.93,100%
1024K,312,write,72988,64892864512,1528.13,1522.55,660,2400,5520,7380,9380,15500,204.16,181518488.28,100%
8192K,336,write,62886,438977460224,1912.17,1861.62,1880,3640,4810,5640,6900,10300,175.71,1226517860.28,100%
0016K,192,write,73993,1089495040,925.82,925.73,570,1430,2460,3400,7490,12110,207.38,3053564.51,100%
8192K,384,write,63148,441409853440,2171.58,2120.54,1960,3820,5710,7210,9160,12180,176.83,1236015644.54,100%
1024K,144,write,70613,63604211712,729.99,724.48,390,840,1650,3200,6640,9820,197.23,177656807.28,100%
0016K,144,write,71729,1062710528,720.02,719.92,400,820,2100,3380,5450,7800,199.97,2962721.32,100%
0016K,240,write,73782,1084777472,1159.09,1158.99,610,1900,3060,4360,9440,13130,207.03,3043837.45,100%
4096K,192,write,74053,263747702784,929.57,907.5,570,1330,2890,4050,5340,7520,206.53,735566987.19,100%
1024K,192,write,73352,65391605760,938.25,932.78,540,1450,2870,4040,5640,10490,204.62,182412971.57,100%
1024K,048,write,65964,60856023040,261.73,256.11,260,370,480,600,880,1770,183.33,169136947.09,100%
0064K,192,write,73227,4145606656,938.84,938.45,470,1260,2880,4510,6980,10110,204.49,11577044.06,100%
1024K,336,write,73074,64869314560,1638.8,1633.31,690,2590,5230,8040,11880,14360,205.02,182002928.63,100%
8192K,312,write,62136,435608449024,1792.39,1741.93,1380,2880,4930,6290,9270,15100,174.05,1220219287.59,100%
0256K,288,write,74759,16547721216,1380.15,1378.75,1150,2800,3840,4560,5870,8500,208.66,46185802.19,100%
0004K,288,write,65811,262024000,1546.95,1546.94,510,2150,3620,8370,16000,19660,186.18,741277.51,100%
0016K,024,write,51915,793699200,166.31,166.22,180,210,250,290,390,840,144.24,2205222.56,100%
0016K,096,write,70361,1046754304,490.38,490.28,350,620,1110,2000,3330,5730,195.74,2911960.69,100%
0256K,240,write,74302,16528660480,1157.05,1155.64,680,2050,3440,4730,6510,9880,207.41,46139476.75,100%
0064K,096,write,70904,4052450304,486.69,486.31,370,680,1080,1690,3100,5920,197.22,11271770.57,100%
0256K,360,write,74750,16570757120,1711.8,1710.4,990,3220,4520,5780,12620,17870,210.28,46616207.53,100%
4096K,408,write,75723,267049605120,1921.87,1899.56,1080,3760,6170,7820,9780,12950,212.28,748637980.23,100%
4096K,256,write,74213,262869360640,1230.17,1207.98,730,1970,3220,4850,9060,15300,208.04,736896860.76,100%
1024K,256,write,72995,65074225152,1251.74,1246.2,550,1830,3240,6340,10480,16990,204.5,182306216.28,100%
0016K,288,write,72990,1075245312,1396.43,1396.33,580,2240,3530,5780,13530,18250,206.23,3037996.56,100%
0256K,048,write,66119,15295649792,261.14,259.69,260,370,490,610,880,1760,183.75,42508738.2,100%
0016K,048,write,66384,999725184,260.09,260,260,370,490,610,910,2140,184.5,2778456.2,100%
8192K,360,write,62332,435714367488,2066.16,2015.23,1830,3930,5400,6420,8340,11600,174.23,1217920953.45,100%
4096K,288,write,72820,259483211776,1410.42,1388.28,520,1910,4800,7370,10890,15590,204.16,727504075.05,100%
8192K,144,write,60395,427493462016,856.33,806.36,700,1200,1850,2740,4750,8890,168.14,1190140448.55,100%
0256K,312,write,75172,16634959872,1481.67,1480.28,930,2570,4070,6240,8970,10920,210.57,46598125.49,100%
0016K,312,write,74635,1094041344,1495.03,1494.93,1020,2870,4420,5700,7550,10390,208.69,3059045.27,100%
8192K,240,write,62118,435991234560,1384.35,1334.32,1070,2130,3720,5200,6680,9410,173.36,1216740653.38,100%
0016K,360,write,73982,1087476224,1729.19,1729.09,770,2870,5570,7690,12410,17180,208.19,3060226.02,100%
0256K,024,write,51829,12244826112,166.59,165.12,180,210,250,290,390,850,144,34020092.84,100%
0256K,408,write,74954,16577601536,1940.14,1938.74,1180,3880,5820,7310,11070,14900,210.3,46513178.4,100%
0004K,144,write,51411,204859296,1003.19,1003.17,610,1480,3160,4120,5780,10500,143.53,571935.62,100%
4096K,240,write,74863,265195698176,1149.84,1127.62,720,1870,3110,4690,7070,13660,208.71,739321365.13,100%
4096K,384,write,74275,262835898368,1837.52,1815.25,850,3440,5140,6890,12900,16830,208.97,739486753.85,100%
1024K,024,write,50910,48003596288,169.56,163.91,180,220,250,290,380,1000,141.47,133393980.44,100%
0016K,256,write,74511,1092154368,1226.24,1226.14,830,2090,3280,4580,7480,14010,208.7,3059062.19,100%
0064K,312,write,73870,4146439168,1510.91,1510.54,800,2740,4700,6630,8590,12120,206.5,11591088.87,100%
0064K,408,write,76100,4236323840,1913.12,1912.74,1770,3350,5130,7070,9300,13010,213.25,11871078.85,100%
8192K,024,write,30905,227476166656,279.31,230.57,320,340,370,390,440,830,85.89,632227497.78,100%
0256K,192,write,73448,16434964480,935.65,934.23,510,1320,2710,4480,6240,8900,205.19,45913024.61,100%
0004K,256,write,56901,226672896,1591.62,1591.6,330,1150,3670,11160,20810,35010,160.76,640393.92,100%
8192K,256,write,62594,438148605952,1467.6,1417.38,1270,2390,3710,4840,6620,10570,174.42,1220923761.48,100%
0016K,408,write,74121,1088937472,1961.92,1961.82,830,3710,5890,8340,12890,19320,207.95,3055046.66,100%
0004K,024,write,38747,152544096,222.77,222.75,230,280,350,430,620,5680,107.66,423853.62,100%
4096K,024,write,47014,176527730688,183.62,161.4,200,230,250,280,350,910,130.64,490535532.36,100%
0004K,240,write,54447,216792480,1559.91,1559.9,470,1760,5960,8920,12190,17590,153.85,612604.81,100%
0064K,048,write,66584,3880343040,259.34,258.95,260,370,490,610,890,1800,185.03,10783281.48,100%
0064K,384,write,75462,4222692864,1810.06,1809.68,1010,3440,5600,7230,10640,14540,212.15,11871152.02,100%
0064K,024,write,51876,3085547008,166.42,166.02,180,210,250,290,400,920,144.14,8573386.52,100%
1024K,408,write,75510,66565806080,1924.7,1919.22,1490,3880,5460,6630,9240,14910,211.98,186870746.61,100%
4096K,096,write,70803,255516063744,487.35,465.04,380,640,1050,1720,2930,5520,196.95,710758174.45,100%
8192K,408,write,63345,441451956224,2296.92,2245.64,2360,4000,5480,6850,9320,13750,177.62,1237817075.73,100%
0256K,144,write,71115,16065517568,724.87,723.45,390,780,1590,3870,6320,9650,198.64,44874487.33,100%
4096K,144,write,72493,259276144640,712.42,690.3,490,950,1760,3000,4530,7010,202.1,722834221.09,100%
0064K,336,write,73371,4129620992,1630.19,1629.81,660,2790,5450,7630,10540,14010,206.1,11600451.11,100%
8192K,048,write,49035,356029585408,352.12,302.2,390,440,510,570,740,1530,136.28,989472499.26,100%
0256K,384,write,74718,16588969984,1821.33,1819.92,850,3150,5690,7780,12680,18570,210.8,46802397.44,100%
0004K,192,write,51730,205996704,1322.01,1321.99,520,1650,4550,6640,10180,14380,145.21,578252.89,100%
0064K,288,write,73856,4153590272,1390.72,1390.34,680,2340,4540,6050,9110,12750,207.08,11645785.29,100%
0064K,144,write,71624,4070843904,721.42,721.04,410,960,2350,3250,4320,5770,199.59,11343820.29,100%
1024K,360,write,74128,65726459904,1732.53,1727.03,760,3720,5660,6850,8450,11020,207.79,184239496.96,100%
0004K,408,write,75233,299237664,1923.72,1923.7,1290,3230,5020,7720,13980,17940,212.09,843586.61,100%
0256K,336,write,74828,16546895872,1604.46,1603.06,1140,3260,4550,5550,7500,11840,209.41,46306331.62,100%
1024K,240,write,74205,65886087168,1148.83,1143.38,670,1910,3040,4220,9120,14330,208.89,185475497.84,100%
0004K,096,write,49997,199095936,689.73,689.71,460,860,1500,3100,5040,8610,139.17,554182.13,100%
8192K,288,write,62162,434543499264,1659.17,1608.98,1680,3000,3930,4760,6560,9940,173.57,1213335501.83,100%
8192K,192,write,61634,432789051392,1118.24,1068.42,990,1870,2670,3330,4680,8360,171.68,1205522826.62,100%
0064K,256,write,75118,4213722112,1214.86,1214.47,810,1850,3510,4870,7570,15080,210.69,11818459.05,100%
0004K,360,write,74645,296944224,1722.42,1722.4,1030,3180,4810,7170,10410,14400,209,831434.93,100%
0004K,048,write,47897,190202080,360.39,360.36,340,530,730,940,1410,3460,133.16,528775.88,100%
0064K,240,read,3832320,245268480000,22.54,22.2,30,30,50,60,110,1090,10645.95,681340573.17,100%
4096K,048,read,532813,2182402048000,32.41,8.9,40,40,40,50,50,1050,1480.11,6062521168.94,100%
4096K,336,read,903608,3701178368000,133.79,107.08,110,180,290,410,750,1870,2511.04,10285215318.3,100%
0256K,096,read,3236514,828547584000,10.67,9.31,20,20,20,20,30,460,8990.48,2301561756.3,100%
0064K,360,read,3721194,238156416000,34.81,34.48,20,30,80,210,350,6370,10338.5,661664072.87,100%
4096K,312,read,900988,3690446848000,124.6,97.89,100,170,260,380,670,1770,2503.5,10254346476.13,100%
1024K,384,read,2246631,2300550144000,61.51,55.39,30,160,210,230,280,1300,6241.8,6391607622.78,100%
0004K,384,read,2887452,11549808000,47.86,39.12,20,50,170,260,400,5210,8022.23,32088934.17,100%
0256K,256,read,3594206,920116736000,25.63,24.1,30,40,50,60,110,3050,9984.37,2555997631.04,100%
1024K,288,read,2396451,2453965824000,43.25,36.89,40,60,80,110,170,1190,6657.34,6817118765.27,100%
0016K,384,read,3762299,60196784000,36.73,36.62,20,30,100,220,420,1520,10453.37,167253918.37,100%
0004K,336,read,3319680,13278720000,36.43,27.42,20,50,110,200,300,1270,9223.08,36892305.68,100%
8192K,096,read,449425,3681689600000,76.86,21.41,80,100,110,110,140,1090,1248.54,10228034181.05,100%
4096K,360,read,898546,3680444416000,144.15,117.44,110,190,310,470,840,2080,2496.99,10227677555.86,100%
0004K,312,read,3441830,13767320000,32.62,23.57,20,50,60,170,290,1380,9562.32,38249275.61,100%
0016K,336,read,3806354,60901664000,31.76,31.65,20,30,50,180,330,7480,10575.72,169211495.74,100%
1024K,096,read,2178330,2230609920000,15.85,9.88,20,20,30,30,30,430,6051.04,6196269952.74,100%
1024K,312,read,2364411,2421156864000,47.48,41.13,40,70,120,160,200,8140,6568.74,6726390660.72,100%
8192K,336,read,464282,3803398144000,260.37,113.48,220,370,560,750,1190,3410,1290.36,10570610082.61,100%
0016K,192,read,3843886,61502176000,17.98,17.85,20,30,40,50,80,1090,10677.83,170845296.32,100%
8192K,384,read,463986,3800973312000,297.71,132.7,250,430,650,880,1410,4310,1289.76,10565712034.49,100%
1024K,144,read,2369253,2426115072000,21.87,15.77,30,30,40,40,50,1030,6581.45,6739403238.15,100%
0016K,144,read,3763901,60222416000,13.77,13.64,20,20,30,30,50,1030,10455.55,167288791.77,100%
0016K,240,read,3885749,62171984000,22.23,22.09,20,30,50,60,120,1110,10794.61,172713773.65,100%
4096K,192,read,907728,3718053888000,76.11,49.26,70,100,140,170,270,1140,2521.87,10329597089.52,100%
1024K,192,read,2391022,2448406528000,28.89,22.68,30,40,50,60,90,1140,6642.05,6801454914.97,100%
1024K,048,read,1616335,1655127040000,10.68,5.19,20,20,20,20,20,260,4489.88,4597636876.91,100%
0064K,192,read,3801372,243287808000,18.18,17.85,20,30,40,50,80,1130,10559.82,675828422.42,100%
1024K,336,read,2324144,2379923456000,52.02,45.84,30,70,170,190,230,1260,6457.3,6612279219.79,100%
8192K,312,read,462575,3789414400000,242.64,102.97,210,350,520,700,1090,2890,1285.7,10532441613.88,100%
0256K,288,read,3530310,903759360000,29.36,27.88,30,30,50,130,240,7420,9807.37,2510685936.89,100%
0004K,288,read,3618547,14474188000,28.63,19.66,20,50,60,120,240,1380,10052.85,40211385.25,100%
0016K,024,read,2175716,34811456000,3.97,3.88,10,10,10,10,10,270,6043.68,96698902.29,100%
0016K,096,read,3594888,57518208000,9.61,9.5,10,20,20,20,30,460,9986.1,159777622.51,100%
0256K,240,read,3574369,915038464000,24.16,22.64,30,40,50,60,100,1080,9929.34,2541911017.93,100%
0064K,096,read,3532177,226059328000,9.78,9.47,20,20,20,20,30,1010,9811.72,627950322.78,100%
0256K,360,read,3429527,877958912000,37.77,36.35,20,30,110,210,400,1430,9528.78,2439366660.83,100%
4096K,408,read,912749,3738619904000,160.83,133.81,130,220,350,510,930,3050,2536.52,10389571941.91,100%
4096K,256,read,893230,3658670080000,103.13,76.21,90,140,210,280,500,8300,2481.79,10165414351,100%
1024K,256,read,2399769,2457363456000,38.39,32.07,40,50,70,90,150,1120,6666.46,6826457597.83,100%
0016K,288,read,3860090,61761440000,26.85,26.73,20,30,50,120,240,1290,10723.83,171581264.25,100%
0256K,048,read,2582335,661077760000,6.68,5.44,10,10,10,10,20,370,7173.21,1836342093.96,100%
