ObjSize,Workers,Op-Type,Op-Count,Byte-Count ,Avg-ResTime,Avg-ProcTime,60%-ResTime ,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime ,100%-ResTime,Throughput,Bandwidth,Succ-Ratio
4096K,360,write,19227,28149411840,2113.48,745.56,520,2830,7690,12170,17750,26530,170.35,248570593.1,100%
0004K,256,write,17981,22505120,1637.65,1637.64,320,1280,6270,10650,17310,22880,156.66,195666.54,100%
4096K,336,write,17669,21804277760,2142.4,582.99,400,1130,8740,14150,22910,28600,157.03,193928838.79,100%
0016K,256,write,17556,83357696,1649.79,1649.76,300,930,6620,11450,15740,24270,155.48,736792.01,100%
8192K,408,write,17947,46122383360,2448.27,748.78,590,2100,10490,13760,20590,52680,167.29,429838039.05,100%
0256K,024,write,32038,1400938496,89.06,88.78,10,10,150,180,3010,7820,269.4,11781568.61,100%
0016K,024,write,36363,101536640,78.28,78.26,10,10,140,160,3010,3010,306.41,855664.25,100%
0004K,288,write,19209,26324608,1742.39,1742.38,440,2150,6200,10530,16320,26200,165.28,226354.31,100%
8192K,336,write,19043,54281617408,2006.66,737.02,640,2740,7980,11130,16200,24820,167.56,476257768.43,100%
0064K,144,write,18342,307827712,937,936.87,250,1010,3010,5040,11250,21680,153.69,2579282.74,100%
1024K,336,write,17807,5616672768,2170.24,600.69,390,1330,9280,11950,27060,29820,154.93,48815849.14,100%
0004K,048,write,20537,15638720,261.95,261.94,40,150,220,580,6020,18560,183.43,139525.69,100%
0256K,192,write,18172,1258070016,1167.31,1166.83,280,990,3640,6760,13820,27920,164.48,11265620.2,100%
0256K,096,write,26052,1396242432,439.23,438.84,140,400,1060,2840,5390,18150,218.57,11713141.59,100%
4096K,096,write,20742,18653523968,545.07,314.65,100,280,1140,3030,8540,26490,176.43,158643044.5,100%
0256K,256,write,17999,1424996352,1617.96,1617.43,350,1660,6090,10810,17230,21830,158.35,12494240.25,100%
1024K,024,write,34650,6152304640,82.42,81.34,10,10,150,170,3020,3020,290.92,51654395.94,100%
0016K,192,write,17269,76795648,1240.19,1240.15,240,640,3960,8040,16530,27890,155.25,686895.69,100%
1024K,048,write,43492,7895246848,130.91,110.5,10,130,170,250,3020,14510,366.12,66464889.45,100%
0004K,408,write,18936,26812928,2406.45,2406.44,520,2910,9650,14460,21230,52060,170.06,241028.4,100%
4096K,144,write,17470,17855414272,944.8,414.43,190,520,3030,6280,12490,25070,152.74,156302798.71,100%
8192K,360,write,17709,44238213120,2196.61,636.33,520,1290,9290,13510,22260,29270,164.55,410540145.72,100%
0064K,096,write,25120,330900480,454.76,454.65,100,250,930,3010,7690,24970,211.38,2783840.37,100%
0004K,360,write,20022,30691648,2055.02,2055,580,3470,6750,9220,18540,28300,175.27,267754.91,100%
1024K,312,write,19913,7644551168,1834.78,765.21,530,3020,6240,9030,16380,22920,170.17,65376611.61,100%
8192K,240,write,17654,42411376640,1551.63,574.09,400,1090,5560,9590,16610,29410,154.73,371360377.03,100%
0256K,336,write,19679,1828493312,1973.58,1972.97,680,3010,6590,8710,18910,29470,170.1,15740446.98,100%
0004K,240,write,17639,21433792,1526.06,1526.05,300,930,5350,10660,18600,26970,157.4,191083.04,100%
4096K,408,write,18336,24593524736,2495.89,708.5,490,3020,11260,13680,19480,52640,164.05,220911221.88,100%
0004K,336,write,19768,28744416,1965.73,1965.72,680,3010,6110,9460,14990,45590,170.93,248099.78,100%
0256K,144,write,18933,1243852800,899.13,898.67,220,980,3010,5210,9620,25320,160.15,10524435,100%
0064K,336,write,17951,359523328,2123.8,2123.64,390,1330,10030,12720,20420,27970,158.29,3168042.59,100%
4096K,192,write,17177,19329886208,1274.81,525.1,250,680,4360,8700,16080,30870,150.89,169281446.92,100%
0016K,096,write,24231,84578688,467.52,467.49,90,250,1000,3010,6430,27100,205.92,718014.03,100%
0256K,360,write,18558,1586059264,2175.64,2175.04,440,2390,8000,12270,21370,29520,165.86,14170556.39,100%
0064K,192,write,18650,339008000,1171.69,1171.55,290,1200,3730,6080,14880,18260,163.89,2979562.83,100%
0256K,408,write,19428,1818210304,2292.26,2291.62,620,3030,8320,12200,26720,59080,179,16786124.27,100%
0016K,144,write,18014,73937280,948.44,948.41,200,810,3010,5800,12740,28760,151.82,623240.54,100%
0004K,312,write,19979,29240032,1850.61,1850.6,690,3010,6060,8880,17640,21990,168.54,246588.24,100%
0016K,360,write,19268,109385600,2073.51,2073.46,630,2890,7430,10940,18610,28020,173.94,987159.57,100%
0064K,048,write,47533,543360000,120.43,120.35,10,120,170,280,3010,10120,398.81,4558288.08,100%
1024K,288,write,18709,6481260544,1665.77,660.83,400,2850,5420,9730,17560,22670,173.44,60042455.65,100%
4096K,240,write,18342,23749947392,1515.15,631.01,370,1970,5430,8800,13930,20660,158.27,204264419.7,100%
0256K,240,write,17514,1290479616,1595.67,1595.15,310,1310,5010,7990,28330,33430,150.41,11082192.36,100%
4096K,288,write,18249,24118712320,1819.04,617.59,390,2180,8090,10580,16400,28500,158.45,209493251.08,100%
4096K,384,write,18259,24261828608,2322.6,662.62,480,2540,9240,14170,22160,40690,166.07,220992518.62,100%
8192K,096,write,22711,41673103360,496.03,321.2,70,380,1430,3060,7670,17250,193.85,355486112.4,100%
0004K,192,write,16885,17918880,1290.46,1290.45,220,470,3730,10360,16350,27610,149.1,157954.47,100%
0256K,288,write,18867,1629270016,1763.4,1762.82,450,2490,6360,9940,16270,20140,163.33,14081805.51,100%
0016K,048,write,60712,169930880,94.01,93.99,10,10,140,170,3010,13510,510.5,1428935.34,100%
8192K,048,write,31622,47268186112,178.68,142.42,10,240,320,410,3070,16100,267.23,399677350.7,100%
8192K,312,write,17546,42599718912,2043.69,592.29,430,1050,8550,14060,19230,27350,152.76,370655642.24,100%
1024K,096,write,22711,5245378560,495.84,359.03,170,490,1250,3020,6200,17380,193.42,44680629.6,100%
1024K,360,write,17713,5508028416,2224.72,605.27,400,1230,9640,13600,23180,28400,162.64,50382648.36,100%
0064K,408,write,17631,340894720,2637.38,2637.21,420,1210,8570,15540,41640,71240,154.93,2993219.36,100%
1024K,256,write,17829,5440489472,1620.42,577.51,340,1280,6220,10680,17010,21760,157.97,48091023.48,100%
0016K,408,write,20071,123111552,2331.97,2331.93,680,3400,8390,12080,17760,53060,174.93,1072569.2,100%
1024K,144,write,17928,4609964032,932.77,453.62,220,770,3020,5890,12230,21040,154.41,39693702.12,100%
0004K,096,write,18254,18449344,609.63,609.62,120,370,2280,3600,7810,13390,157.46,159087.56,100%
4096K,048,write,37257,26837200896,148.39,119.14,10,150,200,310,3030,16850,319.53,230414440.72,100%
0016K,384,write,20260,124762624,2223.19,2223.14,720,3240,7710,10000,18970,27960,172.63,1062642.22,100%
8192K,384,write,18112,47359199232,2405.33,699.55,570,2460,10730,13730,18770,39010,159.8,417630814.11,100%
0016K,312,write,18971,104893312,1935.55,1935.51,580,2820,7490,9870,18160,26750,161.22,891310.98,100%
8192K,024,write,24666,33915189248,115.81,106.93,10,120,290,330,3050,3080,207.09,284781852.99,100%
0016K,240,write,18406,91741056,1482.35,1482.3,370,1820,4960,8520,15450,23790,162.15,807975.45,100%
0064K,256,write,18511,373627904,1595.26,1595.09,400,1880,5210,9710,17010,21070,160.64,3237261.6,100%
0064K,240,write,19076,394591232,1487.25,1487.09,430,2140,4950,7230,15290,22850,161.38,3337760.73,100%
4096K,312,write,18472,24929751040,1929.92,653.6,420,2650,6960,11770,17770,26690,161.84,218769839.32,100%
8192K,288,write,18069,46638708736,1834.88,632.07,440,2020,7870,9660,16200,28560,156.95,404097900.79,100%
0004K,144,write,17042,18152064,947.2,947.2,180,500,3010,7020,11530,19990,152.46,162157.1,100%
0064K,312,write,19449,425303040,1881.2,1881.02,590,2640,7020,10190,15240,17290,165.8,3624613.75,100%
4096K,256,write,17100,19420200960,1727.77,592.82,320,750,6490,11980,20790,27860,148.39,168349159.06,100%
0004K,384,write,19108,26997696,2335.07,2335.06,520,3280,8440,13850,21650,28370,164.38,231645.99,100%
8192K,144,write,17608,37331570688,952.64,466.56,240,700,3050,6020,11370,20400,151.23,320654458.91,100%
1024K,408,write,18524,6295791616,2478.88,722.21,510,3010,9740,14350,22240,110230,165.64,56019983.09,100%
1024K,384,write,19453,7213246464,2235.55,770.83,580,2720,8400,11940,19360,36980,172.52,64038079.83,100%
