ObjSize,Workers,Op-Type,Op-Count,Byte-Count ,Avg-ResTime,Avg-ProcTime,60%-ResTime ,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime ,100%-ResTime,Throughput,Bandwidth,Succ-Ratio
1024K,240,write,17153,4909195264,1614.09,531.17,290,940,7240,11080,15780,20770,148.81,42577361.17,100%
8192K,408,write,21566,76146874368,2219.17,1599.4,2180,3960,5910,7260,12230,25920,183.84,649085476.36,100%
4096K,336,write,23114,44595249152,1694.29,1145.41,2110,2880,4230,5240,9550,14550,198.34,382508049.33,100%
1024K,024,write,26230,4712550400,106.95,91.06,10,80,130,170,3020,11930,223.36,40144629.16,100%
0004K,096,write,21345,19909824,535.83,535.82,70,230,1830,3040,7820,24650,178.96,167009.64,100%
0016K,192,write,18383,89030272,1208.79,1208.76,280,1310,4080,7000,12310,21450,158.79,768286.7,100%
4096K,256,write,18876,26383693824,1540.75,849.33,720,2820,4650,7340,12380,18120,166.55,232965589.08,100%
0004K,336,write,18218,24018944,2097.43,2097.42,230,2050,8220,12750,18530,24480,160.5,211357.97,100%
4096K,288,write,18837,25793837056,1747.95,882.14,820,3450,5010,7810,12290,24260,164.83,225555266.45,100%
1024K,408,write,19069,6909026304,2432.33,793.14,620,3020,9380,14020,20420,66860,168.43,61100419.9,100%
0064K,360,write,18712,409040384,2154.38,2154.21,430,3460,8040,11930,17490,40110,167.58,3664210.81,100%
0256K,024,write,26406,1231847424,107.15,106.86,10,70,110,140,3010,11650,223.47,10426488.64,100%
0016K,144,write,16552,63003520,978.69,978.67,100,450,2040,7300,15880,26820,147.19,560222.74,100%
0004K,384,write,19537,29257184,2248.43,2248.42,660,3810,8550,11980,17760,23210,170.8,255053.6,100%
0256K,192,write,17233,1221785600,1283.05,1282.57,220,620,5580,9130,13140,21660,149.72,10612502.31,100%
0064K,312,write,18664,404461568,1895.22,1895.04,390,2190,7830,10610,17220,21310,164.89,3573189.64,100%
8192K,408,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8192K,240,write,18753,53192394752,1492.6,1192.07,1000,2720,4240,5650,9600,17430,160.81,456304387.79,100%
0256K,336,write,17534,1328988160,2106.07,2105.51,400,1060,9970,12890,20340,27830,160.2,12105601.65,100%
1024K,360,write,17380,5157963776,2315.03,625.96,490,1260,10170,14970,26210,28750,155.78,46132211.28,100%
0016K,408,write,18304,96711808,2488.62,2488.57,530,3010,10060,13400,21870,53020,164.38,866382.53,100%
0256K,240,write,17241,1199384576,1552.75,1552.27,310,770,6180,11420,16360,26420,154.8,10744969.94,100%
0004K,048,write,22755,17650240,234.61,234.61,30,120,280,1020,4190,12800,204.17,158582.71,100%
0064K,192,write,16667,272903680,1317.68,1317.54,170,480,4140,9890,18190,27890,145.84,2386483.06,100%
0064K,096,write,18536,259930624,601.78,601.67,100,230,980,3010,11240,26680,159.57,2236986.14,100%
0064K,384,write,18505,393971712,2308.69,2308.52,470,2080,9110,15340,22320,49930,166.73,3541219.85,100%
0064K,288,write,17204,309555712,1869.61,1869.46,270,770,8080,13640,18650,28330,154.35,2774944.58,100%
0016K,384,write,19409,114217600,2247.68,2247.64,650,2500,8660,13820,20110,28630,170.93,1003268.11,100%
0004K,240,write,17502,20423328,1528,1527.99,180,1010,6200,9250,17910,27920,157.8,183918.45,100%
8192K,256,write,18273,48235708416,1631.55,1059.71,970,3050,5560,6640,9320,16510,156.86,414012805.81,100%
0064K,240,write,17348,309655552,1551.16,1551.02,260,990,5630,10340,18560,26730,155.03,2752929.83,100%
0016K,360,write,18127,93606400,2173,2172.96,480,1890,8790,13520,20100,28000,166.04,857611.63,100%
1024K,256,write,17182,4895782912,1714.01,528.24,310,820,6960,11260,18040,28520,149.72,42687146.5,100%
0004K,312,write,18556,24967328,1917.77,1917.76,290,2430,7450,10200,18330,29740,162.93,219029.92,100%
0004K,024,write,28855,20236096,98.71,98.71,10,60,100,170,3010,10920,243.03,170420.72,100%
0256K,312,write,18378,1541253120,1839.64,1839.07,420,2680,8170,10700,15750,23190,170.37,14272826.04,100%
0016K,048,write,30437,90105600,183.45,183.43,10,70,150,570,3020,21610,259.94,769935.16,100%
0004K,288,write,17898,22583712,1829.18,1829.17,190,1150,8240,11300,16190,29680,157.72,198812.88,100%
0064K,408,write,18384,388862976,2414.5,2414.32,490,2890,10020,14370,23320,53060,169.48,3577780.12,100%
0016K,312,write,17748,87355008,1990.1,1990.06,400,1410,9030,12990,16930,28010,156.96,771882.6,100%
1024K,144,write,16706,4216688640,997.57,383.73,150,420,3020,7030,15430,26190,144.42,36470865.63,100%
0064K,256,write,17500,328720896,1627.68,1627.53,250,990,6940,10680,16130,22360,157.68,2959455.51,100%
0256K,384,write,18360,1544292352,2370.48,2369.9,540,3010,10300,13160,17820,41050,162.27,13629656.73,100%
1024K,384,write,18046,5862463488,2424.8,685.52,530,2020,10400,13320,23770,52580,158.61,51473772.26,100%
0256K,048,write,23392,1115836416,230.15,229.85,20,110,180,690,3550,22040,207.07,9897539.63,100%
4096K,408,write,21809,39151155200,2102.89,1179.4,1830,3060,4970,8760,15530,52600,193.64,345029005.13,100%
4096K,312,write,20412,33372078080,1728.25,991.37,1210,3110,4670,6910,11120,17600,180.82,295470535.37,100%
8192K,096,write,16686,29524279296,653.87,428.24,230,700,1640,3060,9090,16470,146.87,260017649.32,100%
0016K,240,write,17892,87355904,1498.28,1498.24,320,1500,5580,9170,13640,27770,160.34,778849.31,100%
8192K,192,write,16250,32138231808,1354.91,1139.53,320,1780,4210,7210,15790,29680,141.77,280355489.36,100%
0016K,288,write,18195,93686912,1804.67,1804.63,360,1990,7680,10640,15800,28010,159.57,821364.04,100%
4096K,384,write,21221,36370176000,2101.28,1120.16,1640,3230,6280,8910,13620,26340,182.87,313604119.3,100%
0256K,408,write,17950,1443536896,2502.27,2501.71,500,1450,10540,15140,24370,59070,163.68,13134521.64,100%
0004K,360,write,18220,23843936,2263.09,2263.08,260,2340,9140,13860,19150,29790,159.19,208139.35,100%
1024K,288,write,17000,4757786624,1864.31,543.2,350,920,7680,12760,21690,29050,154.94,43208013.09,100%
8192K,336,write,20568,68257587200,1911.47,1307.02,1730,3080,4970,7630,12690,25690,175.84,583671797.35,100%
1024K,192,write,16597,4262799360,1285.5,448.44,230,670,3020,9810,17920,27340,149.87,38490207.03,100%
1024K,048,write,22714,4260225024,247.05,179.96,20,160,450,930,3470,17920,193.61,36321703.12,100%
0004K,192,write,17025,18494656,1288.92,1288.91,140,730,3930,9990,16500,24330,149.14,161897.08,100%
0016K,336,write,18113,92160384,2104.36,2104.32,480,1940,8630,11830,20190,27300,159.95,811287.7,100%
8192K,360,write,18457,61736497152,2242.93,1774.27,1880,3220,4810,7050,13590,68940,160.96,538569605.63,100%
4096K,192,write,17502,20755519488,1222.96,643.84,370,1600,3210,6040,13720,24620,157.37,186602425.77,100%
1024K,096,write,18217,4554246144,625.6,387.55,130,370,2140,3210,6970,26770,153.47,38373083.5,100%
8192K,024,write,22178,30556395520,129.13,119.14,10,170,360,450,3050,6000,185.74,255901329.13,100%
0064K,048,write,25291,307691008,207.45,207.37,20,110,170,650,3170,22130,227.86,2778878.74,100%
0256K,144,write,16625,1046020096,968,967.57,150,390,3010,6990,14510,22870,149.15,9399623.63,100%
0064K,144,write,17329,299598336,934.81,934.69,170,550,3010,6720,11290,22080,154.43,2654400.99,100%
0004K,256,write,17968,22270752,1649.39,1649.38,210,1090,6240,11050,16200,29680,155.16,191910.61,100%
8192K,312,write,18436,49775779840,1863.32,1167.63,1050,3130,5430,7610,14620,23950,167.46,452174417.92,100%
0004K,048,write,38582,27716288,145.75,145.75,10,50,100,250,3010,23300,327.46,235389.09,100%
4096K,024,write,25114,17887490048,113.82,106.68,10,140,230,330,3030,6570,210.81,150149290.22,100%
0004K,408,write,18844,26623040,2458.09,2458.08,580,3290,10130,13190,21470,59080,166.28,234664.44,100%
1024K,312,write,17472,5237121024,1985.28,593.62,390,1120,8700,13500,18670,22790,157.8,47130043.65,100%
0256K,256,write,16733,1115865088,1688.43,1687.96,280,630,6020,12520,21330,29520,152.32,10147381.61,100%
4096K,096,write,17288,16454098944,648.95,383.46,150,560,1610,3400,8640,19740,147.93,140766209.18,100%
4096K,240,write,18479,24671516672,1497.47,784.2,640,2340,3920,8260,13040,17010,160.24,213961666.23,100%
0016K,096,write,19856,72447104,568.97,568.94,110,310,1120,3050,9030,24100,168.55,615194,100%
0016K,256,write,18461,92529408,1576.02,1575.98,380,1760,5050,9210,16980,28280,162.1,807984.2,100%
0256K,288,write,17725,1366288384,1841.69,1841.15,350,1060,9050,11340,16150,19800,156.66,12064132.69,100%
0004K,144,write,17221,16935456,933.25,933.25,110,560,3010,6860,12370,27940,154.63,151851,100%
0016K,024,write,27081,73754880,104.2,104.18,10,50,90,190,3010,13510,229.93,626276.12,100%
0256K,360,write,17389,1290442752,2329.41,2328.87,420,940,10520,15320,24880,29190,154.73,11488402.83,100%
0064K,024,write,27628,306460160,102.68,102.6,10,60,100,130,3010,14820,233.45,2589754.88,100%
8192K,288,write,18806,52332048384,1741.65,1136.86,1090,2960,4680,7660,11590,24430,165.44,460531516.44,100%
4096K,048,write,19860,15057192960,281.93,188.43,20,220,420,940,4910,18510,170.26,129106418.48,100%
8192K,144,write,16663,33498091520,999.37,658.34,470,1180,2980,4630,9610,22730,144.11,289600375.6,100%
0064K,336,write,17778,348950528,2092.77,2092.6,330,1210,9350,13130,20300,26050,161.01,3161484.15,100%
4096K,360,write,18192,28718534656,2136.85,1192.53,1280,3470,4900,9070,13670,54260,171.67,269024982.41,100%
0256K,096,write,19346,1121669120,587.82,587.44,120,310,1230,3130,9560,19390,163.2,9458378.3,100%
1024K,336,write,17448,5229545472,2127.86,618.83,450,1270,9630,13900,21350,26930,158.46,47409365.15,100%
8192K,048,write,20367,29942145024,279.28,236.84,10,340,680,1540,3060,11300,171.81,252582638.93,100%
4096K,144,write,16449,15901501440,998.04,457.61,170,770,2680,6900,13500,22710,144.59,139464799.6,100%
8192K,384,write,20548,67921356800,2116.43,1390.53,1810,3500,5980,8320,11890,22030,181.62,600249334.44,100%
1024K,240,read,49468,50655232000,576.15,571.81,40,1600,2440,2870,3390,6520,416.53,426523097.85,100%
8192K,408,read,7320,59965440000,6163.45,3066.15,5230,12900,17490,18810,29680,37010,66.29,543054970.13,100%
4096K,336,read,20471,83849216000,1730.49,1712.6,90,4290,7660,8660,10460,11810,194.19,795395513.06,100%
1024K,024,read,48807,49978368000,58.95,54.63,40,80,180,250,350,770,407.03,416797433.91,100%
0004K,096,read,204237,816948000,56.38,55.82,30,80,200,290,460,990,1702.46,6809827.2,100%
0016K,192,read,199317,3189072000,115.43,115.35,30,160,490,650,870,1470,1663.26,26612232.19,100%
4096K,256,read,20897,85594112000,1424.38,1406.48,100,2080,6590,9150,10590,11600,179.74,736201765.73,100%
0004K,336,read,344567,1378268000,116.94,116.59,110,150,190,380,810,1270,2872.96,11491833.01,100%
4096K,288,read,20955,85831680000,1595.68,1577.77,100,3860,6880,8730,10030,13650,180.5,739332421.67,100%
1024K,408,read,49172,50352128000,972.32,967.98,40,2680,4160,4890,6410,13290,419.59,429662253.9,100%
0064K,360,read,127410,8154240000,337.07,336.79,30,640,1540,1950,2330,2680,1068,68351763.93,100%
0256K,024,read,79505,20353280000,36.2,35.1,30,50,110,150,220,360,662.87,169694341.06,100%
0016K,144,read,210684,3370944000,81.97,81.89,30,110,310,470,710,1000,1756.51,28104159.34,100%
0004K,384,read,342557,1370228000,134.44,134.12,130,150,190,420,910,1380,2856.2,11424805.02,100%
0256K,192,read,79495,20350720000,287.84,286.75,30,230,1560,1990,2230,2860,667.01,170754902.56,100%
0064K,312,read,128662,8234368000,288.6,288.32,30,370,1270,1820,2200,4130,1081.04,69186277.95,100%
8192K,408,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8192K,240,read,8113,66461696000,3313.34,1676.21,230,6540,14440,14880,27440,30300,72.35,592730902.59,100%
0256K,336,read,79067,20241152000,503.56,502.48,30,680,2580,3210,3760,4320,667.31,170832588.47,100%
1024K,360,read,49289,50471936000,862.3,857.99,40,2250,3780,4550,5420,8230,417.49,427511608.66,100%
0016K,408,read,208782,3340512000,234.1,234.02,30,230,1110,1370,2020,2590,1742.75,27884045.85,100%
