Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2020-01-07 15:57:22,booting @ 2020-01-09 00:04:47,submitting @ 2020-01-09 00:04:47,authing @ 2020-01-09 00:04:47,launching @ 2020-01-09 00:04:47,running @ 2020-01-09 00:04:48,closing @ 2020-01-09 00:04:53,completed @ 2020-01-09 00:04:53
s2-prepare,prepare-write,prepare,192000,49152000000,183.46,181.84,170,200,230,280,1100,9160,262.89,67299115.51,100%,completed,waiting @ 2020-01-07 15:57:22,booting @ 2020-01-09 00:04:55,submitting @ 2020-01-09 00:04:55,authing @ 2020-01-09 00:04:55,launching @ 2020-01-09 00:04:55,running @ 2020-01-09 00:04:56,closing @ 2020-01-09 00:18:26,completed @ 2020-01-09 00:18:26
s3-test_write,write,write,18558,1586059264,2175.64,2175.04,440,2390,8000,12270,21370,29520,165.86,14170556.39,100%,completed,waiting @ 2020-01-07 15:57:22,booting @ 2020-01-09 00:18:28,submitting @ 2020-01-09 00:18:28,authing @ 2020-01-09 00:18:28,launching @ 2020-01-09 00:18:28,running @ 2020-01-09 00:18:28,closing @ 2020-01-09 00:20:34,completed @ 2020-01-09 00:20:34
s4-test_read,read,read,284638,72867328000,151.29,150.11,120,190,300,450,1110,9390,2379.3,609100551.37,100%,completed,waiting @ 2020-01-07 15:57:22,booting @ 2020-01-09 00:20:36,submitting @ 2020-01-09 00:20:36,authing @ 2020-01-09 00:20:36,launching @ 2020-01-09 00:20:36,running @ 2020-01-09 00:20:36,closing @ 2020-01-09 00:22:41,completed @ 2020-01-09 00:22:42
s5-cleanup,cleanup-delete,cleanup,192000,0,89.06,89.06,80,90,110,150,890,15020,546.89,0,100%,completed,waiting @ 2020-01-07 15:57:22,booting @ 2020-01-09 00:22:44,submitting @ 2020-01-09 00:22:44,authing @ 2020-01-09 00:22:44,launching @ 2020-01-09 00:22:44,running @ 2020-01-09 00:22:44,closing @ 2020-01-09 00:43:50,completed @ 2020-01-09 00:43:51
s5-cleanup,cleanup-delete,cleanup,1182000,0,48.52,48.52,50,50,70,80,130,20180,990.54,0,100%,completed,waiting @ 2020-01-07 15:57:22,booting @ 2020-01-09 00:22:44,submitting @ 2020-01-09 00:22:44,authing @ 2020-01-09 00:22:44,launching @ 2020-01-09 00:22:44,running @ 2020-01-09 00:22:44,closing @ 2020-01-09 00:43:50,completed @ 2020-01-09 00:43:51
s6-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2020-01-07 15:57:22,booting @ 2020-01-09 00:43:52,submitting @ 2020-01-09 00:43:52,authing @ 2020-01-09 00:43:52,launching @ 2020-01-09 00:43:52,running @ 2020-01-09 00:43:52,closing @ 2020-01-09 00:43:57,completed @ 2020-01-09 00:43:58
