Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,4032,1032192000,227.84,226.18,4.39,1123199.22,100%
prepare,write,4032,1032192000,203.4,201.76,4.91,1258095.66,100%
prepare,write,4032,1032192000,239.03,237.39,4.18,1070656.4,100%
prepare,write,4032,1032192000,233.44,231.81,4.28,1096287.55,100%
prepare,write,4032,1032192000,232.55,230.91,4.3,1100503.56,100%
prepare,write,4032,1032192000,234.07,232.4,4.27,1093333.39,100%
prepare,write,4032,1032192000,237.12,235.47,4.22,1079260.72,100%
prepare,write,4032,1032192000,209.24,207.6,4.78,1223070.5,100%
prepare,write,4032,1032192000,248.38,246.74,4.02,1030369.28,100%
prepare,write,4032,1032192000,234.6,232.96,4.26,1090873.35,100%
prepare,write,4032,1032192000,235.53,233.9,4.24,1086544.2,100%
prepare,write,4032,1032192000,230.81,229.16,4.33,1108753.66,100%
prepare,write,4032,1032192000,205.25,203.62,4.87,1246834.57,100%
prepare,write,4032,1032192000,205.99,204.36,4.85,1242308.63,100%
prepare,write,4032,1032192000,240.01,238.34,4.17,1066303.03,100%
prepare,write,4032,1032192000,251.02,249.35,3.98,1019567.71,100%
prepare,write,4032,1032192000,229.45,227.8,4.36,1115314.13,100%
prepare,write,4032,1032192000,227.77,226.12,4.39,1123573.34,100%
prepare,write,4032,1032192000,247.57,245.94,4.04,1033718.8,100%
prepare,write,4032,1032192000,246.95,245.32,4.05,1036282.21,100%
prepare,write,4032,1032192000,246.09,244.44,4.06,1039968.89,100%
prepare,write,4032,1032192000,216.07,214.46,4.63,1184382.82,100%
prepare,write,4032,1032192000,242.44,240.8,4.12,1055607.49,100%
prepare,write,4032,1032192000,210.72,209.09,4.74,1214443.54,100%
prepare,write,4032,1032192000,214.71,213.07,4.66,1191911.75,100%
prepare,write,4032,1032192000,224.62,223.01,4.45,1139317.46,100%
prepare,write,4032,1032192000,244.32,242.71,4.09,1047470.4,100%
prepare,write,4032,1032192000,252.39,250.79,3.96,1014003.81,100%
prepare,write,4032,1032192000,217.77,216.15,4.59,1175138.16,100%
prepare,write,4032,1032192000,211.77,210.14,4.72,1208406.7,100%
prepare,write,4032,1032192000,211.21,209.59,4.73,1211652.24,100%
prepare,write,4032,1032192000,253.56,251.93,3.94,1009341.52,100%
prepare,write,4032,1032192000,252.56,251.02,3.96,1013299.04,100%
prepare,write,4032,1032192000,248.4,246.91,4.02,1030302.43,100%
prepare,write,4032,1032192000,248.91,247.37,4.02,1028187.21,100%
prepare,write,4032,1032192000,246.34,244.8,4.06,1038865.67,100%
prepare,write,4032,1032192000,243.8,242.26,4.1,1049740.51,100%
prepare,write,4032,1032192000,228.26,226.7,4.38,1121175.19,100%
prepare,write,4032,1032192000,249.4,247.88,4.01,1026180.63,100%
prepare,write,4032,1032192000,253.47,251.94,3.94,1009689.06,100%
prepare,write,3840,983040000,235.3,233.78,4.25,1087614.1,100%
prepare,write,3840,983040000,223.86,222.31,4.47,1143262.53,100%
prepare,write,3840,983040000,230.32,228.8,4.34,1111113.62,100%
prepare,write,3840,983040000,194.87,193.34,5.13,1313192.3,100%
prepare,write,3840,983040000,233.51,231.98,4.28,1096022.37,100%
prepare,write,3840,983040000,238.02,236.49,4.2,1075213.78,100%
prepare,write,3840,983040000,233.02,231.49,4.29,1098290.18,100%
prepare,write,3840,983040000,198.59,197.05,5.03,1288654.79,100%
