ObjSize, Workers, WriteBytes, WriteBW, WriteIOPs, ReadBytes, ReadBW, ReadIOPs, WriteRespTime, ReadRespTime, WriteProcTime, ReadProcTime
0256K, 0048,   2544296448, 14137420,        56,    5217557333, 28988499,       113,       35,       17,       33,       16
0256K, 0096,   3353038762, 18633188,        75,    7595018666, 42198454,       164,       52,       24,       51,       23
0256K, 0192,   3929789952, 21844695,        89,    6749344000, 37506624,       146,       89,       54,       87,       53
0256K, 0384,   4057221290, 22689358,        94,    4814368000, 34857851,       136,      170,      117,      168,      116
0256K, 0576,   4111410090, 23503889,        97,    6202208000, 34538285,       134,      245,      177,      243,      176
0256K, 0768,   3887564885, 23029497,       132,    6132629333, 34184516,       133,      244,      239,      243,      238
0256K, 0960,   4102989653, 24154307,       101,    6099658666, 34042364,       132,      393,      300,      392,      299
0256K, 1152,   4046681088, 27663493,       116,    6074357333, 34041708,       132,      412,      361,      410,      359
0256K, 1344,   4161242624, 23914498,       101,    6066602666, 34117149,       133,      550,      420,      548,      419
0256K, 1536,   4017672874, 23214372,        98,    6077344000, 34086919,       133,      640,      480,      638,      479
0256K, 1728,   4012815530, 22964231,        97,    6050624000, 33961362,       132,      729,      542,      727,      541
0512K, 0024,   2816168192, 15646930,        31,    5395754666, 29978114,        58,       31,       17,       28,       14
0512K, 0048,   4938785450, 27441047,        54,    9683114666, 53798730,       105,       36,       19,       33,       16
0512K, 0096,   6577607594, 36554017,        74,   14454677333, 80310563,       156,       53,       25,       50,       23
0512K, 0192,   7808148821, 43409462,        88,   13319189333, 74011178,       144,       89,       55,       86,       52
0512K, 0384,   8001222997, 44820383,        92,   12622080000, 70151247,       137,      172,      116,      169,      114
0512K, 0576,   8046335488, 45988333,        95,   12366400000, 68863874,       134,      251,      178,      247,      175
0512K, 0768,   8165008469, 47943836,       100,   12210026666, 68076369,       132,      315,      240,      311,      238
0512K, 0960,   8237906688, 48261421,       118,   12213056000, 68371247,       133,      341,      299,      338,      297
0512K, 1152,   8356086442, 48460747,       103,   12127978666, 67766060,       132,      464,      362,      461,      360
0512K, 1344,   8279114410, 48362545,       116,   12100181333, 68003190,       132,      481,      421,      477,      419
0512K, 1536,   8309700096, 47617232,       101,   12054186666, 67901709,       132,      628,      482,      624,      480
0512K, 1728,   7966783573, 45846568,        97,    8690005333, 66705125,       130,      729,      553,      725,      550
1024K, 0024,   3767767978, 20934820,        20,    5147349333, 28599918,        27,       47,       35,       41,       31
1024K, 0048,   7693380437, 42747967,        43,    9874261333, 64227731,        62,       46,       32,       39,       27
1024K, 0096,  10478983765, 58232207,        59,   14677120000, 81555458,        79,       67,       50,       60,       45
1024K, 0192,  12833220864, 71338103,        73,   17221504000, 95720427,        93,      108,       85,      101,       80
