0256K, 1152,   2484816725, 15098037,        63,    1791797333, 10702669,        41,      761,     1144,      759,     1143
0256K, 1344,   2477217109, 15025643,        62,    1801386666, 10749838,        41,      888,     1325,      887,     1324
0256K, 1536,   2492056746, 15128349,        63,    1807114666, 11366103,        44,     1004,     1439,     1002,     1438
0256K, 1728,   2485181440, 14745536,        62,    1784128000, 10218751,        39,     1155,     1801,     1153,     1800
0256K, 1920,   2490721280, 14820799,        62,    1792960000, 10283023,        40,     1269,     1987,     1268,     1986
1024K, 0024,   4525389738, 25144162,        25,    3394218666, 18859020,        18,       39,       54,       33,       49
1024K, 0048,   6626356394, 36822336,        37,    4791978666, 26628338,        26,       53,       76,       46,       72
1024K, 0096,   8513272917, 47311492,        48,    5983018666, 33255309,        32,       82,      123,       76,      118
1024K, 0192,   9815927296, 54571551,        56,    6677504000, 37170140,        36,      141,      220,      134,      215
1024K, 0384,  10051120384, 56408557,        59,    7001429333, 39414209,        38,      270,      417,      264,      412
1024K, 0576,   9873471146, 57284986,        60,    7135616000, 41262137,        40,      400,      596,      394,      592
1024K, 0768,   9949807616, 58982563,        61,    7285034666, 42539578,        41,      516,      771,      509,      766
1024K, 0960,   9942698240, 60032008,        62,    7242240000, 42490561,        41,      636,      962,      629,      957
1024K, 1152,   9842345557, 64076856,        67,    7165269333, 41891777,        40,      712,     1171,      705,     1166
1024K, 1344,  10046482346, 60316371,        63,    7061802666, 44123392,        43,      882,     1294,      875,     1290
1024K, 1536,  10022849194, 60392131,        63,    7305600000, 41699269,        40,     1008,     1571,     1001,     1566
1024K, 1728,  10074736298, 59996942,        63,    7141973333, 41300644,        40,     1132,     1780,     1125,     1775
1024K, 1920,  10079200170, 59660958,        63,    7129770666, 40889095,        39,     1262,     2004,     1255,     2000
2768K, 0024,  18535846656, 03082081,         3,   16799061333, 93418351,         2,      310,      350,       72,       85
2768K, 0048,  31052116480, 72716415,         5,   21068458666, 17231964,         3,      363,      559,       87,      135
2768K, 0096,  37808175189, 10341198,         6,   22623573333, 27030088,         3,      587,     1033,      193,      220
2768K, 0192,  35910561706, 03339762,         6,   23004501333, 30986197,         3,     1191,     2017,      412,      394
2768K, 0384,  31772062464, 02297816,         6,   23265280000, 39849262,         4,     2363,     3775,      968,      656
2768K, 0576,  35758966698, 01046049,         6,   23405909333, 49968696,         4,     3583,     5072,     2323,      879
2768K, 0768,  36136991146, 03805332,         6,   22706858666, 43927293,         4,     4770,     6068,     3005,      995
4096K, 0024,  11169838336, 62066297,        15,   11160405333, 62014440,        15,       64,       66,       38,       47
4096K, 0048,  18731741866, 04084616,        26,   17179648000, 95467903,        23,       75,       85,       46,       66
4096K, 0096,  27386631594, 52200321,        39,   22846464000, 26991615,        31,      102,      129,       69,      108
4096K, 0192,  30949085610, 72045943,        44,   26484565333, 47319570,        35,      180,      222,      132,      201
4096K, 0384,  23923207594, 72374951,        45,   27535189333, 56002668,        38,      354,      421,      244,      400
4096K, 0576,  30559491754, 70113183,        45,   28501674666, 63427139,        39,      536,      602,      417,      580
4096K, 0768,  30492457386, 69917089,        45,   28766378666, 66239686,        40,      711,      790,      569,      768
4096K, 0960,  30481155072, 70002736,        45,   28910933333, 67754237,        40,      889,      976,      743,      955
4096K, 1152,  30296945834, 69110520,        45,   28493312000, 65192215,        40,     1069,     1190,      901,     1169
4096K, 1344,  29866881536, 66739773,        45,   28712106666, 65770264,        40,     1265,     1382,     1081,     1361
4096K, 1536,  29375363498, 64269535,        44,   29265066666, 67101279,        40,     1465,     1568,     1261,     1546
4096K, 1728,  29359460352, 64406280,        44,   28618240000, 62789654,        39,     1644,     1811,     1421,     1789
4096K, 1920,  29136072533, 63061365,        44,   28370773333, 61309104,        39,     1840,     2033,     1615,     2011
8192K, 0024,  12236662613, 68007132,         8,   11892053333, 66096924,         8,      117,      123,       59,       50
8192K, 0048,  21131645525, 17441358,        14,   17200469333, 95603986,        11,      133,      171,       69,       73
8192K, 0096,  31689869909, 76177560,        23,   21851818666, 21528778,        14,      173,      269,      102,      122
8192K, 0192,  30460976810, 91145304,        25,   24044544000, 33914698,        16,      316,      489,      184,      232
8192K, 0384,  33716337408, 87690002,        25,   24871594666, 42893405,        17,      645,      920,      404,      446
8192K, 0576,  33384186368, 86081371,        25,   25230677333, 50160896,        18,      972,     1312,      643,      658
8192K, 0768,  33002641920, 84184254,        24,   25354922666, 57466239,        19,     1307,     1618,      972,      792
8192K, 0960,  32553213781, 82144799,        24,   26383360000, 51822261,        18,     1651,     2162,     1273,     1070
8192K, 1152,  32343177642, 81310896,        24,   25998336000, 59783068,        19,     1995,     2364,     1591,     1174
8192K, 1344,  32062215253, 79521643,        24,   25654272000, 48459114,        18,     2355,     3089,     1943,     1556
8192K, 1536,  31918781696, 79004058,        24,   25542314666, 48192212,        18,     2690,     3528,     2244,     1802
8192K, 1728,  31512595626, 77192622,        23,   24452096000, 52896405,        18,     3060,     3674,     2575,     1865
8192K, 1920,  31356773717, 76228062,        23,   25014954666, 46335056,        17,     3425,     4447,     2942,     2262
ObjSize, Workers, WriteBytes, WriteBW, WriteIOPs, ReadBytes, ReadBW, ReadIOPs, WriteRespTime, ReadRespTime, WriteProcTime, ReadProcTime
