Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,4032,4128768000,255.26,248.72,3.92,4010381.54,100%
prepare,write,4032,4128768000,214.19,207.72,4.67,4779042.8,100%
prepare,write,4032,4128768000,243.32,236.87,4.11,4207142.86,100%
prepare,write,4032,4128768000,220.2,213.8,4.54,4648597.4,100%
prepare,write,4032,4128768000,254.83,248.32,3.92,4017221.8,100%
prepare,write,4032,4128768000,252.28,245.8,3.96,4057589.76,100%
prepare,write,4032,4128768000,217.96,211.48,4.59,4696328.72,100%
prepare,write,4032,4128768000,218.88,212.37,4.57,4676688.87,100%
prepare,write,4032,4128768000,252.65,246.08,3.96,4051676.75,100%
prepare,write,4032,4128768000,251.33,244.87,3.98,4073060.75,100%
prepare,write,4032,4128768000,256.39,249.87,3.9,3992581.06,100%
prepare,write,4032,4128768000,259.3,252.84,3.86,3948099.04,100%
prepare,write,4032,4128768000,258.84,252.48,3.86,3954959.4,100%
prepare,write,4032,4128768000,221.14,214.72,4.52,4629068.46,100%
prepare,write,4032,4128768000,255.7,249.2,3.91,4003300.56,100%
prepare,write,4032,4128768000,227.86,221.36,4.39,4492527.99,100%
prepare,write,4032,4128768000,212.9,206.39,4.7,4808065.99,100%
prepare,write,4032,4128768000,228.75,222.21,4.37,4474867.69,100%
prepare,write,4032,4128768000,242.38,235.82,4.12,4223354.24,100%
prepare,write,4032,4128768000,223.78,217.22,4.47,4574513.13,100%
prepare,write,4032,4128768000,236.74,230.13,4.22,4323923.99,100%
prepare,write,4032,4128768000,239.34,232.75,4.18,4277071.17,100%
prepare,write,4032,4128768000,232.83,226.24,4.29,4396632.86,100%
prepare,write,4032,4128768000,216.22,209.7,4.62,4734239.34,100%
prepare,write,4032,4128768000,226.19,219.61,4.42,4525624.54,100%
prepare,write,4032,4128768000,229.82,223.21,4.35,4454296.93,100%
prepare,write,4032,4128768000,249.91,243.38,4,4096162.55,100%
prepare,write,4032,4128768000,255.37,248.87,3.91,4008543.76,100%
prepare,write,4032,4128768000,246.94,240.39,4.05,4145391.02,100%
prepare,write,4032,4128768000,243.77,237.28,4.1,4199325.06,100%
prepare,write,4032,4128768000,227.11,220.54,4.4,4507359.12,100%
prepare,write,4032,4128768000,230.83,224.21,4.33,4434638.31,100%
prepare,write,4032,4128768000,250.91,244.87,3.98,4079882.84,100%
prepare,write,4032,4128768000,254.69,248.69,3.93,4019462.73,100%
prepare,write,4032,4128768000,253,246.92,3.95,4046248.8,100%
prepare,write,4032,4128768000,248.74,242.63,4.02,4115643.21,100%
prepare,write,4032,4128768000,247.55,241.45,4.04,4135322.49,100%
prepare,write,4032,4128768000,249.86,243.76,4,4096926.69,100%
prepare,write,4032,4128768000,249.05,243.05,4.01,4110398.63,100%
prepare,write,4032,4128768000,247.83,241.69,4.03,4130639.18,100%
prepare,write,3840,3932160000,258.57,252.47,3.87,3959057.84,100%
prepare,write,3840,3932160000,212.58,206.47,4.7,4815359.54,100%
prepare,write,3840,3932160000,251.89,245.64,3.97,4064050.64,100%
prepare,write,3840,3932160000,203.87,197.73,4.9,5021178.24,100%
prepare,write,3840,3932160000,220.35,214.23,4.54,4645669.85,100%
prepare,write,3840,3932160000,245.64,239.51,4.07,4167348.48,100%
prepare,write,3840,3932160000,257.23,251.09,3.89,3979790.13,100%
prepare,write,3840,3932160000,205.33,199.2,4.87,4985419.64,100%
