Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2020-01-14 15:54:54,booting @ 2020-01-15 00:29:52,submitting @ 2020-01-15 00:29:52,authing @ 2020-01-15 00:29:52,launching @ 2020-01-15 00:29:52,running @ 2020-01-15 00:29:52,closing @ 2020-01-15 00:29:57,completed @ 2020-01-15 00:29:57
s2-prepare,prepare-write,prepare,192000,3072000000,134.89,134.79,100,160,270,440,1030,10280,363.23,5811700.77,100%,completed,waiting @ 2020-01-14 15:54:54,booting @ 2020-01-15 00:30:00,submitting @ 2020-01-15 00:30:00,authing @ 2020-01-15 00:30:00,launching @ 2020-01-15 00:30:00,running @ 2020-01-15 00:30:00,closing @ 2020-01-15 00:40:40,completed @ 2020-01-15 00:40:41
s3-test_write,write,write,19856,72447104,568.97,568.94,110,310,1120,3050,9030,24100,168.55,615194,100%,completed,waiting @ 2020-01-14 15:54:54,booting @ 2020-01-15 00:40:43,submitting @ 2020-01-15 00:40:43,authing @ 2020-01-15 00:40:43,launching @ 2020-01-15 00:40:43,running @ 2020-01-15 00:40:43,closing @ 2020-01-15 00:42:48,completed @ 2020-01-15 00:42:48
s4-test_read,read,read,211676,3386816000,54.4,54.32,20,70,180,300,500,760,1764.51,28232170.16,100%,completed,waiting @ 2020-01-14 15:54:54,booting @ 2020-01-15 00:42:51,submitting @ 2020-01-15 00:42:51,authing @ 2020-01-15 00:42:51,launching @ 2020-01-15 00:42:51,running @ 2020-01-15 00:42:51,closing @ 2020-01-15 00:44:51,completed @ 2020-01-15 00:44:51
s5-cleanup,cleanup-delete,cleanup,192000,0,98.01,98.01,70,100,120,200,970,17990,493.97,0,100%,completed,waiting @ 2020-01-14 15:54:54,booting @ 2020-01-15 00:44:54,submitting @ 2020-01-15 00:44:54,authing @ 2020-01-15 00:44:54,launching @ 2020-01-15 00:44:54,running @ 2020-01-15 00:44:54,closing @ 2020-01-15 01:06:35,completed @ 2020-01-15 01:06:36
s5-cleanup,cleanup-delete,cleanup,1182000,0,49.9,49.9,50,50,70,80,160,16750,962.67,0,100%,completed,waiting @ 2020-01-14 15:54:54,booting @ 2020-01-15 00:44:54,submitting @ 2020-01-15 00:44:54,authing @ 2020-01-15 00:44:54,launching @ 2020-01-15 00:44:54,running @ 2020-01-15 00:44:54,closing @ 2020-01-15 01:06:35,completed @ 2020-01-15 01:06:36
s6-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2020-01-14 15:54:54,booting @ 2020-01-15 01:06:37,submitting @ 2020-01-15 01:06:37,authing @ 2020-01-15 01:06:37,launching @ 2020-01-15 01:06:37,running @ 2020-01-15 01:06:37,closing @ 2020-01-15 01:06:42,completed @ 2020-01-15 01:06:42
