Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,4032,1032192000,210.87,209.27,4.74,1213581.11,100%
prepare,write,4032,1032192000,215.86,214.19,4.63,1185555.45,100%
prepare,write,4032,1032192000,212.6,210.98,4.7,1203730.87,100%
prepare,write,4032,1032192000,217.44,215.82,4.6,1176890.71,100%
prepare,write,4032,1032192000,248.3,246.64,4.03,1030707.78,100%
prepare,write,4032,1032192000,255.22,253.59,3.92,1002751.22,100%
prepare,write,4032,1032192000,236.9,235.27,4.22,1080262.61,100%
prepare,write,4032,1032192000,227.64,226.01,4.39,1124166.83,100%
prepare,write,4032,1032192000,242.38,240.74,4.12,1055842.88,100%
prepare,write,4032,1032192000,249.72,248.09,4,1024826.57,100%
prepare,write,4032,1032192000,248.99,247.35,4.01,1027819.66,100%
prepare,write,4032,1032192000,220.5,218.84,4.53,1160574.78,100%
prepare,write,4032,1032192000,248.74,247.09,4.02,1028880.04,100%
prepare,write,4032,1032192000,215.61,213.97,4.64,1186914.63,100%
prepare,write,4032,1032192000,252.46,250.83,3.96,1013712.03,100%
prepare,write,4032,1032192000,257.32,255.69,3.89,994619.26,100%
prepare,write,4032,1032192000,224.27,222.64,4.46,1141073.21,100%
prepare,write,4032,1032192000,238.86,237.23,4.19,1071398.77,100%
prepare,write,4032,1032192000,250.4,248.77,3.99,1022055.26,100%
prepare,write,4032,1032192000,255.37,253.76,3.91,1002173.89,100%
prepare,write,4032,1032192000,252.93,251.32,3.95,1011818.03,100%
prepare,write,4032,1032192000,223.04,221.42,4.48,1147338.94,100%
prepare,write,4032,1032192000,221.88,220.24,4.51,1153383.8,100%
prepare,write,4032,1032192000,253.69,252.08,3.94,1008803.89,100%
prepare,write,4032,1032192000,247.9,246.24,4.03,1032378.86,100%
prepare,write,4032,1032192000,230.49,228.86,4.34,1110328,100%
prepare,write,4032,1032192000,225.65,224.05,4.43,1134094.97,100%
prepare,write,4032,1032192000,231.25,229.64,4.32,1106661.46,100%
prepare,write,4032,1032192000,235.37,233.75,4.25,1087290.44,100%
prepare,write,4032,1032192000,250.64,249.01,3.99,1021082.62,100%
prepare,write,4032,1032192000,209.63,208.01,4.77,1220721.44,100%
prepare,write,4032,1032192000,237.47,235.84,4.21,1077673.04,100%
prepare,write,4032,1032192000,244.69,243.18,4.09,1045939.83,100%
prepare,write,4032,1032192000,243.82,242.33,4.1,1049648.71,100%
prepare,write,4032,1032192000,239.32,237.79,4.18,1069410.7,100%
prepare,write,4032,1032192000,240.4,238.9,4.16,1064574.22,100%
prepare,write,4032,1032192000,244.78,243.26,4.08,1045512.88,100%
prepare,write,4032,1032192000,257.79,256.28,3.88,992733.81,100%
prepare,write,4032,1032192000,246.51,245,4.06,1038162.47,100%
prepare,write,4032,1032192000,250.7,249.19,3.99,1020863.48,100%
prepare,write,3840,983040000,241.45,239.94,4.14,1059920.26,100%
prepare,write,3840,983040000,198.48,196.97,5.04,1289401.89,100%
prepare,write,3840,983040000,203.97,202.44,4.9,1254645.7,100%
prepare,write,3840,983040000,247.88,246.35,4.03,1032508.52,100%
prepare,write,3840,983040000,241.81,240.31,4.13,1058411.61,100%
prepare,write,3840,983040000,207.9,206.38,4.81,1230944.92,100%
prepare,write,3840,983040000,243.56,242.07,4.1,1050762.71,100%
prepare,write,3840,983040000,199.84,198.35,5,1280520.21,100%
