Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2020-01-10 15:01:59,booting @ 2020-01-12 01:24:02,submitting @ 2020-01-12 01:24:02,authing @ 2020-01-12 01:24:02,launching @ 2020-01-12 01:24:03,running @ 2020-01-12 01:24:03,closing @ 2020-01-12 01:24:08,completed @ 2020-01-12 01:24:08
s2-prepare,prepare-write,prepare,192000,49152000000,240.15,238.53,220,260,300,360,1540,31180,200.99,51453332.17,100%,completed,waiting @ 2020-01-10 15:01:59,booting @ 2020-01-12 01:24:10,submitting @ 2020-01-12 01:24:10,authing @ 2020-01-12 01:24:10,launching @ 2020-01-12 01:24:11,running @ 2020-01-12 01:24:11,closing @ 2020-01-12 01:41:46,completed @ 2020-01-12 01:41:46
s3-test_write,write,write,18563,1587156992,1910.05,1909.49,460,3020,7810,11810,15960,19410,163.57,13971602.06,100%,completed,waiting @ 2020-01-10 15:01:59,booting @ 2020-01-12 01:41:48,submitting @ 2020-01-12 01:41:48,authing @ 2020-01-12 01:41:48,launching @ 2020-01-12 01:41:49,running @ 2020-01-12 01:41:49,closing @ 2020-01-12 01:43:54,completed @ 2020-01-12 01:43:54
s4-test_read,read,read,101889,26083584000,353.01,351.89,180,290,470,790,5290,37270,882.92,226027229.71,100%,completed,waiting @ 2020-01-10 15:01:59,booting @ 2020-01-12 01:43:56,submitting @ 2020-01-12 01:43:56,authing @ 2020-01-12 01:43:56,launching @ 2020-01-12 01:43:57,running @ 2020-01-12 01:43:57,closing @ 2020-01-12 01:46:02,completed @ 2020-01-12 01:46:02
s5-cleanup,cleanup-delete,cleanup,192000,0,104.71,104.71,80,110,140,190,1170,13090,463.27,0,100%,completed,waiting @ 2020-01-10 15:01:59,booting @ 2020-01-12 01:46:04,submitting @ 2020-01-12 01:46:04,authing @ 2020-01-12 01:46:04,launching @ 2020-01-12 01:46:04,running @ 2020-01-12 01:46:05,closing @ 2020-01-12 02:08:20,completed @ 2020-01-12 02:08:21
s5-cleanup,cleanup-delete,cleanup,1182000,0,50.9,50.9,50,50,70,90,170,14750,943.98,0,100%,completed,waiting @ 2020-01-10 15:01:59,booting @ 2020-01-12 01:46:04,submitting @ 2020-01-12 01:46:04,authing @ 2020-01-12 01:46:04,launching @ 2020-01-12 01:46:04,running @ 2020-01-12 01:46:05,closing @ 2020-01-12 02:08:20,completed @ 2020-01-12 02:08:21
s6-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2020-01-10 15:01:59,booting @ 2020-01-12 02:08:22,submitting @ 2020-01-12 02:08:22,authing @ 2020-01-12 02:08:22,launching @ 2020-01-12 02:08:22,running @ 2020-01-12 02:08:23,closing @ 2020-01-12 02:08:28,completed @ 2020-01-12 02:08:28
