Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2020-01-07 15:57:13,booting @ 2020-01-08 01:09:09,submitting @ 2020-01-08 01:09:09,authing @ 2020-01-08 01:09:09,launching @ 2020-01-08 01:09:10,running @ 2020-01-08 01:09:10,closing @ 2020-01-08 01:09:15,completed @ 2020-01-08 01:09:15
s2-prepare,prepare-write,prepare,192000,3072000000,183.16,183.05,170,200,230,270,1210,7880,264.07,4225096.25,100%,completed,waiting @ 2020-01-07 15:57:13,booting @ 2020-01-08 01:09:17,submitting @ 2020-01-08 01:09:17,authing @ 2020-01-08 01:09:17,launching @ 2020-01-08 01:09:17,running @ 2020-01-08 01:09:18,closing @ 2020-01-08 01:22:58,completed @ 2020-01-08 01:22:58
s3-test_write,write,write,60712,169930880,94.01,93.99,10,10,140,170,3010,13510,510.5,1428935.34,100%,completed,waiting @ 2020-01-07 15:57:13,booting @ 2020-01-08 01:23:00,submitting @ 2020-01-08 01:23:00,authing @ 2020-01-08 01:23:00,launching @ 2020-01-08 01:23:00,running @ 2020-01-08 01:23:01,closing @ 2020-01-08 01:25:06,completed @ 2020-01-08 01:25:06
s4-test_read,read,read,165990,2655840000,34.69,34.61,40,60,70,80,110,420,1383.46,22135421.39,100%,completed,waiting @ 2020-01-07 15:57:13,booting @ 2020-01-08 01:25:08,submitting @ 2020-01-08 01:25:08,authing @ 2020-01-08 01:25:08,launching @ 2020-01-08 01:25:08,running @ 2020-01-08 01:25:09,closing @ 2020-01-08 01:27:09,completed @ 2020-01-08 01:27:09
s5-cleanup,cleanup-delete,cleanup,192000,0,91.61,91.61,80,100,120,170,970,11040,531.48,0,100%,completed,waiting @ 2020-01-07 15:57:13,booting @ 2020-01-08 01:27:11,submitting @ 2020-01-08 01:27:11,authing @ 2020-01-08 01:27:11,launching @ 2020-01-08 01:27:11,running @ 2020-01-08 01:27:12,closing @ 2020-01-08 01:48:32,completed @ 2020-01-08 01:48:33
s5-cleanup,cleanup-delete,cleanup,1182000,0,48.57,48.57,50,50,70,80,140,11540,989.44,0,100%,completed,waiting @ 2020-01-07 15:57:13,booting @ 2020-01-08 01:27:11,submitting @ 2020-01-08 01:27:11,authing @ 2020-01-08 01:27:11,launching @ 2020-01-08 01:27:11,running @ 2020-01-08 01:27:12,closing @ 2020-01-08 01:48:32,completed @ 2020-01-08 01:48:33
s6-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2020-01-07 15:57:13,booting @ 2020-01-08 01:48:34,submitting @ 2020-01-08 01:48:34,authing @ 2020-01-08 01:48:34,launching @ 2020-01-08 01:48:34,running @ 2020-01-08 01:48:35,closing @ 2020-01-08 01:48:40,completed @ 2020-01-08 01:48:40
