Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,4032,0,81.04,81.04,12.34,0,100%
cleanup,delete,4032,0,79.31,79.31,12.61,0,100%
cleanup,delete,4032,0,96.42,96.42,10.37,0,100%
cleanup,delete,4032,0,88.07,88.07,11.35,0,100%
cleanup,delete,4032,0,86.19,86.19,11.6,0,100%
cleanup,delete,4032,0,83.12,83.12,12.03,0,100%
cleanup,delete,4032,0,85.09,85.09,11.75,0,100%
cleanup,delete,4032,0,82.15,82.15,12.17,0,100%
cleanup,delete,4032,0,101.77,101.77,9.83,0,100%
cleanup,delete,4032,0,88.83,88.83,11.26,0,100%
cleanup,delete,4032,0,96.8,96.8,10.33,0,100%
cleanup,delete,4032,0,98.95,98.95,10.11,0,100%
cleanup,delete,4032,0,101.08,101.08,9.89,0,100%
cleanup,delete,4032,0,103.15,103.15,9.69,0,100%
cleanup,delete,4032,0,82.56,82.56,12.11,0,100%
cleanup,delete,4032,0,86.91,86.91,11.51,0,100%
cleanup,delete,4032,0,95.07,95.07,10.52,0,100%
cleanup,delete,4032,0,95.69,95.69,10.45,0,100%
cleanup,delete,4032,0,90.42,90.42,11.06,0,100%
cleanup,delete,4032,0,94.53,94.53,10.58,0,100%
cleanup,delete,4032,0,75.68,75.68,13.21,0,100%
cleanup,delete,4032,0,92.65,92.65,10.79,0,100%
cleanup,delete,4032,0,74.88,74.88,13.35,0,100%
cleanup,delete,4032,0,73.73,73.73,13.56,0,100%
cleanup,delete,4032,0,84.64,84.64,11.81,0,100%
cleanup,delete,4032,0,83.95,83.95,11.91,0,100%
cleanup,delete,4032,0,93.6,93.6,10.68,0,100%
cleanup,delete,4032,0,94.12,94.12,10.62,0,100%
cleanup,delete,4032,0,78.31,78.31,12.77,0,100%
cleanup,delete,4032,0,92.25,92.25,10.84,0,100%
cleanup,delete,4032,0,89.61,89.61,11.16,0,100%
cleanup,delete,4032,0,76.53,76.53,13.07,0,100%
cleanup,delete,4032,0,100.52,100.52,9.95,0,100%
cleanup,delete,4032,0,90.04,90.04,11.11,0,100%
