Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2020-01-04 22:33:19,booting @ 2020-01-05 01:45:05,submitting @ 2020-01-05 01:45:05,authing @ 2020-01-05 01:45:05,launching @ 2020-01-05 01:45:05,running @ 2020-01-05 01:45:06,closing @ 2020-01-05 01:45:11,completed @ 2020-01-05 01:45:11
s2-prepare,prepare-write,prepare,120,1920000,125.22,125.17,130,160,180,200,240,250,80.74,1291824.98,100%,completed,waiting @ 2020-01-04 22:33:19,booting @ 2020-01-05 01:45:13,submitting @ 2020-01-05 01:45:13,authing @ 2020-01-05 01:45:13,launching @ 2020-01-05 01:45:13,running @ 2020-01-05 01:45:14,closing @ 2020-01-05 01:45:19,completed @ 2020-01-05 01:45:19
s3-test_write,write,write,70361,1046754304,490.38,490.28,350,620,1110,2000,3330,5730,195.74,2911960.69,100%,completed,waiting @ 2020-01-04 22:33:19,booting @ 2020-01-05 01:45:21,submitting @ 2020-01-05 01:45:21,authing @ 2020-01-05 01:45:21,launching @ 2020-01-05 01:45:21,running @ 2020-01-05 01:45:21,closing @ 2020-01-05 01:51:27,completed @ 2020-01-05 01:51:27
s4-test_read,read,read,3594888,57518208000,9.61,9.5,10,20,20,20,30,460,9986.1,159777622.51,100%,completed,waiting @ 2020-01-04 22:33:19,booting @ 2020-01-05 01:51:29,submitting @ 2020-01-05 01:51:29,authing @ 2020-01-05 01:51:29,launching @ 2020-01-05 01:51:29,running @ 2020-01-05 01:51:29,closing @ 2020-01-05 01:57:30,completed @ 2020-01-05 01:57:30
s5-cleanup,cleanup-delete,cleanup,768,0,117.55,117.55,70,120,230,490,1120,1270,492.18,0,100%,completed,waiting @ 2020-01-04 22:33:19,booting @ 2020-01-05 01:57:32,submitting @ 2020-01-05 01:57:32,authing @ 2020-01-05 01:57:32,launching @ 2020-01-05 01:57:32,running @ 2020-01-05 01:57:32,closing @ 2020-01-05 01:57:37,completed @ 2020-01-05 01:57:37
s6-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2020-01-04 22:33:19,booting @ 2020-01-05 01:57:40,submitting @ 2020-01-05 01:57:40,authing @ 2020-01-05 01:57:40,launching @ 2020-01-05 01:57:40,running @ 2020-01-05 01:57:40,closing @ 2020-01-05 01:57:45,completed @ 2020-01-05 01:57:45
