Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w1-s1-init-1,init-write,0,0,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) objects=r(0-0) sizes=c(0)B cprefix=s3harrier containers=r(1-192)
w1-s2-prepare-1,prepare-write,192000,768000000,48,140.99,140.97,110,140,170,250,1350,9310,345.25,1381017.17,100%,100% cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB createContainer=false cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB
w1-s3-test_write-1,write,28855,20236096,24,98.71,98.71,10,60,100,170,3010,10920,243.03,170420.72,100%,100% cprefix=s3harrier containers=u(11-1192) objects=u(1-1000) sizes=c(4)KB
w1-s4-test_read-1,read,180153,720612000,24,15.96,15.14,20,30,50,60,110,630,1503.37,6013479.44,100%,100% cprefix=s3harrier containers=u(1-192) objects=u(1-1000)
w1-s5-cleanup-1,cleanup-delete,192000,0,48,167.79,167.79,140,160,180,300,1540,28660,290.58,0,100%,100% cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) cprefix=s3harrier containers=r(1-192) objects=r(1-1000) deleteContainer=false cprefix=s3harrier containers=r(1-192) objects=r(1-1000)
w1-s5-cleanup-2,cleanup-delete,1182000,0,48,61.21,61.21,50,50,130,150,220,29290,786.67,0,100%,100% cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) cprefix=s3harrier containers=r(11-1192) objects=r(1-1000) deleteContainer=false cprefix=s3harrier containers=r(11-1192) objects=r(1-1000)
w1-s6-dispose-1,dispose-delete,0,0,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) objects=r(0-0) sizes=c(0)B cprefix=s3harrier containers=r(1-192)
w2-s1-init-1,init-write,0,0,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) cprefix=s3harrier containers=r(1-192) objects=r(0-0) sizes=c(0)B cprefix=s3harrier containers=r(1-192)
w2-s2-prepare-1,prepare-write,192000,768000000,48,125.15,125.13,100,120,150,200,1430,10900,387.03,1548105.29,100%,100% cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB createContainer=false cprefix=s3harrier containers=r(1-192) objects=r(1-1000) sizes=c(4)KB
w2-s3-test_write-1,write,38582,27716288,48,145.75,145.75,10,50,100,250,3010,23300,327.46,235389.09,100%,100% cprefix=s3harrier containers=u(11-1192) objects=u(1-1000) sizes=c(4)KB
