Id,Name,Submitted-At,Started-At,Stopped-At,Op-Info,State,Detailed State
w22,HARRIER_W312_OBJ016K,2020-01-14 15:54:56,2020-01-15 04:11:50,2020-01-15 04:49:23,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:56,processing @ 2020-01-15 04:11:50,finished @ 2020-01-15 04:49:23
w23,HARRIER_W336_OBJ016K,2020-01-14 15:54:56,2020-01-15 04:49:23,2020-01-15 05:26:11,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:56,processing @ 2020-01-15 04:49:23,finished @ 2020-01-15 05:26:11
w24,HARRIER_W360_OBJ016K,2020-01-14 15:54:56,2020-01-15 05:26:12,2020-01-15 06:03:34,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:56,processing @ 2020-01-15 05:26:12,finished @ 2020-01-15 06:03:34
w25,HARRIER_W384_OBJ016K,2020-01-14 15:54:57,2020-01-15 06:03:35,2020-01-15 06:39:37,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:57,processing @ 2020-01-15 06:03:35,finished @ 2020-01-15 06:39:37
w26,HARRIER_W408_OBJ016K,2020-01-14 15:54:57,2020-01-15 06:39:38,2020-01-15 07:17:21,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:57,processing @ 2020-01-15 06:39:38,finished @ 2020-01-15 07:17:21
w27,HARRIER_W024_OBJ064K,2020-01-14 15:54:57,2020-01-15 07:17:21,2020-01-15 07:55:44,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:57,processing @ 2020-01-15 07:17:21,finished @ 2020-01-15 07:55:44
w28,HARRIER_W048_OBJ064K,2020-01-14 15:54:58,2020-01-15 07:55:44,2020-01-15 08:34:17,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:58,processing @ 2020-01-15 07:55:44,finished @ 2020-01-15 08:34:17
w29,HARRIER_W096_OBJ064K,2020-01-14 15:54:58,2020-01-15 08:34:17,2020-01-15 09:13:25,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:58,processing @ 2020-01-15 08:34:17,finished @ 2020-01-15 09:13:25
w30,HARRIER_W144_OBJ064K,2020-01-14 15:54:58,2020-01-15 09:13:25,2020-01-15 09:51:28,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:58,processing @ 2020-01-15 09:13:25,finished @ 2020-01-15 09:51:28
w31,HARRIER_W192_OBJ064K,2020-01-14 15:54:58,2020-01-15 09:51:28,2020-01-15 10:30:16,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:58,processing @ 2020-01-15 09:51:28,finished @ 2020-01-15 10:30:16
w32,HARRIER_W240_OBJ064K,2020-01-14 15:54:59,2020-01-15 10:30:16,2020-01-15 11:09:09,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:59,processing @ 2020-01-15 10:30:16,finished @ 2020-01-15 11:09:09
w33,HARRIER_W256_OBJ064K,2020-01-14 15:54:59,2020-01-15 11:09:09,2020-01-15 11:48:02,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:59,processing @ 2020-01-15 11:09:09,finished @ 2020-01-15 11:48:02
w34,HARRIER_W288_OBJ064K,2020-01-14 15:54:59,2020-01-15 11:48:03,2020-01-15 12:26:40,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:59,processing @ 2020-01-15 11:48:03,finished @ 2020-01-15 12:26:40
