Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,4032,0,81.67,81.67,12.24,0,100%
cleanup,delete,4032,0,83.36,83.36,12,0,100%
cleanup,delete,4032,0,107.83,107.83,9.27,0,100%
cleanup,delete,4032,0,85.84,85.84,11.65,0,100%
cleanup,delete,4032,0,83.97,83.97,11.91,0,100%
cleanup,delete,4032,0,82.67,82.67,12.1,0,100%
cleanup,delete,4032,0,111.15,111.15,9,0,100%
cleanup,delete,4032,0,86.26,86.26,11.59,0,100%
cleanup,delete,4032,0,108.99,108.99,9.17,0,100%
cleanup,delete,4032,0,112.09,112.09,8.92,0,100%
cleanup,delete,4032,0,114.6,114.6,8.73,0,100%
cleanup,delete,4032,0,112.89,112.89,8.86,0,100%
cleanup,delete,4032,0,88.04,88.04,11.36,0,100%
cleanup,delete,4032,0,82.42,82.42,12.13,0,100%
cleanup,delete,4032,0,117.81,117.81,8.49,0,100%
cleanup,delete,4032,0,109.86,109.86,9.1,0,100%
cleanup,delete,4032,0,89.81,89.81,11.13,0,100%
cleanup,delete,4032,0,89.45,89.45,11.18,0,100%
cleanup,delete,4032,0,119.25,119.25,8.39,0,100%
cleanup,delete,4032,0,108.33,108.33,9.23,0,100%
cleanup,delete,4032,0,116.87,116.87,8.56,0,100%
cleanup,delete,4032,0,113.34,113.34,8.82,0,100%
cleanup,delete,4032,0,94.29,94.29,10.6,0,100%
cleanup,delete,4032,0,100.19,100.19,9.98,0,100%
cleanup,delete,4032,0,106.71,106.71,9.37,0,100%
cleanup,delete,4032,0,113.85,113.85,8.78,0,100%
cleanup,delete,4032,0,103.56,103.56,9.66,0,100%
cleanup,delete,4032,0,90.45,90.45,11.05,0,100%
cleanup,delete,4032,0,116.47,116.47,8.59,0,100%
cleanup,delete,4032,0,104.66,104.66,9.55,0,100%
cleanup,delete,4032,0,102.46,102.46,9.76,0,100%
cleanup,delete,4032,0,90.72,90.72,11.02,0,100%
cleanup,delete,4032,0,115.9,115.9,8.63,0,100%
cleanup,delete,4032,0,115.05,115.05,8.69,0,100%
cleanup,delete,4032,0,120.21,120.21,8.32,0,100%
cleanup,delete,4032,0,117.55,117.55,8.51,0,100%
cleanup,delete,4032,0,104.95,104.95,9.53,0,100%
cleanup,delete,4032,0,105.33,105.33,9.49,0,100%
cleanup,delete,4032,0,112.48,112.48,8.89,0,100%
cleanup,delete,4032,0,107.13,107.13,9.33,0,100%
cleanup,delete,3840,0,109.37,109.37,9.14,0,100%
cleanup,delete,3840,0,80.78,80.78,12.38,0,100%
cleanup,delete,3840,0,99.44,99.44,10.06,0,100%
cleanup,delete,3840,0,105.56,105.56,9.47,0,100%
cleanup,delete,3840,0,108.01,108.01,9.26,0,100%
cleanup,delete,3840,0,99.87,99.87,10.01,0,100%
cleanup,delete,3840,0,100.29,100.29,9.97,0,100%
