Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
13:14:02,46,188416000,1105.74,1079.76,9.04,37015281.96,100%,0,0,0
13:14:07,195,798720000,1167.67,1141.55,33.44,136961850.53,100%,1,1,1
13:14:12,177,724992000,1485.97,1462.7,37.57,153896456.08,100%,2,2,2
13:14:17,192,786432000,1436.34,1413.47,34.2,140092775.36,100%,3,3,3
13:14:22,196,802816000,1443.35,1420.46,33.4,136800903.65,100%,4,4,4
13:14:27,185,757760000,1508.02,1484.88,30.57,125233035.33,100%,5,5,5
13:14:32,218,892928000,1020.56,996.83,39.97,163698614.35,100%,6,6,6
13:14:37,168,688128000,1119.26,1095.7,38.77,158804817.3,100%,7,7,7
13:14:42,188,770048000,1001.18,977.73,46.8,191673821.06,100%,8,8,8
13:14:47,252,1032192000,1052.04,1028.4,57.29,234649681.85,100%,9,9,9
13:14:52,295,1208320000,846.12,821.95,57.38,235039611.94,100%,10,10,10
13:14:57,228,933888000,1173.48,1149.85,40.48,165787875.07,100%,11,11,11
13:15:02,164,671744000,1389.27,1366.32,30.56,125163257.24,100%,12,12,12
13:15:07,155,634880000,1523.93,1500.35,30.55,125153186.09,100%,13,13,13
13:15:12,157,643072000,1172.48,1149.18,33.98,139200310.75,100%,14,14,14
13:15:17,221,905216000,1290.68,1267.31,45.6,186788750.38,100%,15,15,15
13:15:22,225,921600000,1242.93,1219.9,41.24,168914601.55,100%,16,16,16
13:15:27,218,892928000,1081.45,1058,41.55,170198309.52,100%,17,17,17
13:15:32,279,1142784000,639.7,615.53,61.03,249964089.96,100%,18,18,18
13:15:37,292,1196032000,794.58,770.54,62.24,254942948.79,100%,19,19,19
13:15:42,308,1261568000,808.19,783.77,60.66,248464858.77,100%,20,20,20
13:15:47,345,1413120000,829.91,805.14,68.42,280258736.54,100%,21,21,21
13:15:52,374,1531904000,705.14,681.17,70.2,287546402.49,100%,22,22,22
13:15:57,272,1114112000,680.31,655.69,55.28,226427153.53,100%,23,23,23
13:16:02,324,1327104000,790.93,766.78,75.25,308212954.9,100%,24,24,24
13:16:07,335,1372160000,742.7,718.01,65.12,266720933.6,100%,25,25,25
13:16:12,367,1503232000,625.55,601.11,76.16,311953074.18,100%,26,26,26
13:16:17,355,1454080000,680.81,656.37,69.92,286403028.61,100%,27,27,27
13:16:22,349,1429504000,709.98,685.71,67.8,277717555.82,100%,28,28,28
