Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,4032,1032192000,233.47,231.8,4.28,1096166.47,100%
prepare,write,4032,1032192000,239.18,237.5,4.18,1070038.18,100%
prepare,write,4032,1032192000,231.85,230.2,4.31,1103766.87,100%
prepare,write,4032,1032192000,234.88,233.22,4.26,1089581.34,100%
prepare,write,4032,1032192000,210.65,209,4.75,1214878.08,100%
prepare,write,4032,1032192000,259.77,258.12,3.85,985209.34,100%
prepare,write,4032,1032192000,201.31,199.66,4.97,1271209.99,100%
prepare,write,4032,1032192000,230.3,228.63,4.34,1111205.37,100%
prepare,write,4032,1032192000,228,226.36,4.38,1122416.31,100%
prepare,write,4032,1032192000,257.63,255.99,3.88,993372.02,100%
prepare,write,4032,1032192000,262.58,260.94,3.81,974659.78,100%
prepare,write,4032,1032192000,205.1,203.44,4.87,1247711.75,100%
prepare,write,4032,1032192000,263.6,261.96,3.79,970912.84,100%
prepare,write,4032,1032192000,199.9,198.25,5,1279922.23,100%
prepare,write,4032,1032192000,233.97,232.34,4.27,1093786.39,100%
prepare,write,4032,1032192000,231.44,229.77,4.32,1105771.12,100%
prepare,write,4032,1032192000,246.3,244.63,4.06,1039076.92,100%
prepare,write,4032,1032192000,244.47,242.84,4.09,1046847.87,100%
prepare,write,4032,1032192000,243.44,241.77,4.11,1051244.76,100%
prepare,write,4032,1032192000,243.1,241.45,4.11,1052711.45,100%
prepare,write,4032,1032192000,228.71,227.04,4.37,1118976.46,100%
prepare,write,4032,1032192000,262.29,260.66,3.81,975720.24,100%
prepare,write,4032,1032192000,238.63,236.95,4.19,1072428.44,100%
prepare,write,4032,1032192000,227.06,225.43,4.4,1127094.48,100%
prepare,write,4032,1032192000,245.66,244.01,4.07,1041743.75,100%
prepare,write,4032,1032192000,219.41,217.76,4.56,1166364.77,100%
prepare,write,4032,1032192000,241.75,240.11,4.14,1058623.72,100%
prepare,write,4032,1032192000,240.68,239.04,4.15,1063340.43,100%
prepare,write,4032,1032192000,256.76,255.13,3.89,996734.18,100%
prepare,write,4032,1032192000,210.42,208.78,4.75,1216196.44,100%
prepare,write,4032,1032192000,206.74,205.08,4.83,1237742.69,100%
prepare,write,4032,1032192000,239.61,237.94,4.17,1068082.79,100%
prepare,write,4032,1032192000,263.71,262.14,3.79,970529.41,100%
prepare,write,4032,1032192000,254.13,252.6,3.93,1007039.18,100%
prepare,write,4032,1032192000,259.62,258.05,3.85,985769.17,100%
prepare,write,4032,1032192000,248.36,246.78,4.03,1030509.18,100%
prepare,write,4032,1032192000,259.53,257.93,3.85,986154.37,100%
prepare,write,4032,1032192000,250.26,248.68,3.99,1022617.23,100%
prepare,write,4032,1032192000,247.57,246,4.04,1033744.68,100%
prepare,write,4032,1032192000,247.24,245.65,4.04,1035122.43,100%
prepare,write,3840,983040000,228.35,226.79,4.38,1120725.63,100%
prepare,write,3840,983040000,227.9,226.32,4.39,1122963.5,100%
prepare,write,3840,983040000,235.33,233.75,4.25,1087516.64,100%
prepare,write,3840,983040000,227.23,225.65,4.4,1126291.95,100%
prepare,write,3840,983040000,229.83,228.26,4.35,1113516.27,100%
prepare,write,3840,983040000,221.78,220.22,4.51,1153939.61,100%
prepare,write,3840,983040000,225.47,223.91,4.43,1135045.26,100%
prepare,write,3840,983040000,226.11,224.54,4.42,1131801.76,100%
