Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
init,write,0,0,N/A,N/A,0,0,N/A
prepare,write,8064,32256000,230.35,230.33,8.69,34754.61,100%
write,write,822,1076192,1675.24,1675.23,7.17,9382.41,100%
read,read,4695,18780000,304.48,304.24,39.39,157550.78,100%
cleanup,delete,8064,0,100.4,100.4,20.14,0,100%
cleanup,delete,49644,0,50.14,50.14,39.93,0,100%
dispose,delete,0,0,N/A,N/A,0,0,N/A
