Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,24,0,120.12,120.12,8.32,0,100%
cleanup,delete,24,0,106.08,106.08,9.43,0,100%
cleanup,delete,24,0,103.46,103.46,9.66,0,100%
cleanup,delete,24,0,122.12,122.12,8.19,0,100%
cleanup,delete,24,0,98.83,98.83,10.12,0,100%
cleanup,delete,24,0,109,109,9.17,0,100%
cleanup,delete,24,0,125.42,125.42,7.97,0,100%
cleanup,delete,24,0,127.96,127.96,7.81,0,100%
cleanup,delete,24,0,95.38,95.38,10.48,0,100%
cleanup,delete,24,0,111.88,111.88,8.94,0,100%
cleanup,delete,24,0,130.08,130.08,7.69,0,100%
cleanup,delete,24,0,127.33,127.33,7.85,0,100%
cleanup,delete,24,0,73.12,73.12,13.68,0,100%
cleanup,delete,24,0,82.62,82.62,12.1,0,100%
cleanup,delete,24,0,91.79,91.79,10.89,0,100%
cleanup,delete,24,0,87.46,87.46,11.43,0,100%
cleanup,delete,12,0,72.75,72.75,13.75,0,100%
cleanup,delete,12,0,45.42,45.42,22.02,0,100%
cleanup,delete,12,0,91.58,91.58,10.92,0,100%
cleanup,delete,12,0,138.5,138.5,7.22,0,100%
cleanup,delete,12,0,75.08,75.08,13.32,0,100%
cleanup,delete,12,0,81.67,81.67,12.24,0,100%
cleanup,delete,12,0,109.42,109.42,9.13,0,100%
cleanup,delete,12,0,93.75,93.75,10.65,0,100%
cleanup,delete,12,0,74.08,74.08,13.5,0,100%
cleanup,delete,12,0,57.67,57.67,17.34,0,100%
cleanup,delete,12,0,55.58,55.58,17.99,0,100%
cleanup,delete,12,0,43.58,43.58,22.94,0,100%
cleanup,delete,12,0,129.33,129.33,7.73,0,100%
cleanup,delete,12,0,124.92,124.92,8.01,0,100%
cleanup,delete,12,0,131.58,131.58,7.6,0,100%
cleanup,delete,12,0,50.17,50.17,19.93,0,100%
cleanup,delete,12,0,63.08,63.08,15.85,0,100%
cleanup,delete,12,0,91.58,91.58,10.91,0,100%
cleanup,delete,12,0,100.58,100.58,9.94,0,100%
cleanup,delete,12,0,103.5,103.5,9.66,0,100%
cleanup,delete,12,0,83.25,83.25,12.01,0,100%
cleanup,delete,12,0,86,86,11.63,0,100%
cleanup,delete,12,0,68.67,68.67,14.56,0,100%
cleanup,delete,12,0,107.92,107.92,9.27,0,100%
cleanup,delete,12,0,116.92,116.92,8.55,0,100%
cleanup,delete,12,0,51.33,51.33,19.48,0,100%
cleanup,delete,12,0,140.58,140.58,7.11,0,100%
cleanup,delete,12,0,219.42,219.42,4.56,0,100%
cleanup,delete,12,0,169.08,169.08,5.91,0,100%
cleanup,delete,12,0,64.5,64.5,15.5,0,100%
cleanup,delete,12,0,97.08,97.08,10.3,0,100%
cleanup,delete,12,0,113.25,113.25,8.83,0,100%
