Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
13:22:53,75,49,0,0,746.79,934.84,746.79,934.84,14.72,9.63,0,0,100%,100%,0,0,0
13:22:58,276,235,0,0,738.22,927.37,738.22,927.37,50.16,42.05,0,0,100%,100%,1,1,1
13:23:03,305,240,0,0,857.3,1074.79,857.3,1074.79,68.85,53.16,0,0,100%,100%,2,2,2
13:23:08,304,242,0,0,906.09,1069.62,906.09,1069.62,53.19,44.96,0,0,100%,100%,3,3,3
13:23:13,345,296,0,0,761.66,857.7,761.66,857.7,63.99,54.81,0,0,100%,100%,4,4,4
13:23:18,388,285,0,0,626.5,942.6,626.5,942.6,72.78,52.25,0,0,100%,100%,5,5,5
13:23:23,405,212,0,0,693.04,920.79,693.04,920.79,76.67,39.13,0,0,100%,100%,6,6,6
13:23:28,909,317,0,0,289.3,453.79,289.3,453.79,174.86,61.62,0,0,100%,100%,7,7,7
13:23:33,1002,676,0,0,154.79,596.64,154.79,596.64,193.53,131.11,0,0,100%,100%,8,8,8
13:23:38,1084,866,0,0,268.91,307.47,268.91,307.47,210.47,169.61,0,0,100%,100%,9,9,9
13:23:43,1206,1015,0,0,207.58,139.33,207.58,139.33,239.28,218.22,0,0,100%,100%,10,10,10
13:23:48,1175,994,0,0,185.68,320.77,185.68,320.77,229.19,198.87,0,0,100%,100%,11,11,11
13:23:53,2059,1050,0,0,110.24,204.26,110.24,204.26,422.95,206.4,0,0,100%,100%,12,12,12
13:23:58,1384,1201,0,0,173.09,185.51,173.09,185.51,292.91,238.56,0,0,100%,100%,13,13,13
13:24:03,1935,1332,0,0,125.29,191.15,125.29,191.15,396.26,265.55,0,0,100%,100%,14,14,14
13:24:08,2537,1376,0,0,95.01,199.66,95.01,199.66,506.65,271.08,0,0,100%,100%,15,15,15
13:24:13,1709,1311,0,0,145.01,161.26,145.01,161.26,336.22,256.4,0,0,100%,100%,16,16,16
13:24:18,1979,1566,0,0,122.33,167.27,122.33,167.27,381.62,310.84,0,0,100%,100%,17,17,17
13:24:23,2315,1860,0,0,96.41,121.16,96.41,121.16,458.81,365.09,0,0,100%,100%,18,18,18
13:24:28,2810,1824,0,0,80.83,121.32,80.83,121.32,555.26,360.96,0,0,100%,100%,19,19,19
13:24:33,3435,1910,0,0,78.43,140.12,78.43,140.12,695.43,379.86,0,0,100%,100%,20,20,20
13:24:38,2698,2086,0,0,77.11,107.82,77.11,107.82,534.2,415.45,0,0,100%,100%,21,21,21
13:24:43,2108,1934,0,0,126.03,135.67,126.03,135.67,432.22,382.81,0,0,100%,100%,22,22,22
13:24:48,2212,2069,0,0,109.19,115.82,109.19,115.82,443.16,410.49,0,0,100%,100%,23,23,23
13:24:53,2234,2272,0,0,113.72,112.97,113.72,112.97,442.28,449.08,0,0,100%,100%,24,24,24
13:24:58,2391,2360,0,0,93.03,97.14,93.03,97.14,475.38,469.12,0,0,100%,100%,25,25,25
13:25:03,2419,2418,0,0,91.38,96.12,91.38,96.12,485.37,483.84,0,0,100%,100%,26,26,26
13:25:08,2380,2393,0,0,107.48,103.44,107.48,103.44,474.47,476.73,0,0,100%,100%,27,27,27
13:25:13,2658,2685,0,0,92.83,87.37,92.83,87.37,541.27,546.66,0,0,100%,100%,28,28,28
13:25:18,2776,2744,0,0,88.69,90.04,88.69,90.04,550.07,543.87,0,0,100%,100%,29,29,29
13:25:23,2899,2915,0,0,84.18,84.47,84.18,84.47,574.56,577.23,0,0,100%,100%,30,30,30
13:25:28,2829,2912,0,0,82.87,82.2,82.87,82.2,561.07,577.63,0,0,100%,100%,31,31,31
13:25:33,2929,2895,0,0,83.21,83.12,83.21,83.12,609.8,587.49,0,0,100%,100%,32,32,32
