Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
22:00:37,20,81920000,1277.8,1252.45,3.91,16027059.12,100%,0,0,0
22:00:42,196,802816000,1330.42,1304.32,32.41,132771340.19,100%,1,1,1
22:00:47,192,786432000,1414.52,1391.48,37.38,153089533.36,100%,2,2,2
22:00:52,198,811008000,1367.3,1344.39,35.14,143922362.15,100%,3,3,3
22:00:57,191,782336000,1468.77,1445.8,32.76,134164743.83,100%,4,4,4
22:01:02,178,729088000,1468.74,1445.86,30.29,124063712.18,100%,5,5,5
22:01:07,230,942080000,860.96,837.12,43.74,179157894.11,100%,6,6,6
22:01:12,182,745472000,1063.01,1039.57,45.07,184601276.3,100%,7,7,7
22:01:17,221,905216000,1058.91,1035.45,51.34,210285075.23,100%,8,8,8
22:01:22,290,1187840000,871.46,847.04,58.7,240416261.91,100%,9,9,9
22:01:27,322,1318912000,842.66,818.34,61.06,250120560.03,100%,10,10,10
22:01:32,389,1593344000,632.09,607.75,73.3,300241741.1,100%,11,11,11
22:01:37,396,1622016000,605.98,581.13,78.88,323090040.44,100%,12,12,12
22:01:42,395,1617920000,597.28,572.25,73.77,302152190.06,100%,13,13,13
22:01:47,327,1339392000,789.72,765.75,64.47,264059191.48,100%,14,14,14
22:01:52,260,1064960000,839.26,815.67,50.9,208487536.36,100%,15,15,15
22:01:57,304,1245184000,719.89,695.87,60.63,248321523.38,100%,16,16,16
22:02:02,276,1130496000,917.62,893.47,56.61,231884889.43,100%,17,17,17
22:02:07,317,1298432000,791.27,767.15,63.64,260656022.84,100%,18,18,18
22:02:12,342,1400832000,707.16,682.52,69.29,283824764.79,100%,19,19,19
22:02:17,340,1392640000,596.79,572.34,66.38,271886018.53,100%,20,20,20
22:02:22,334,1368064000,666.23,642.31,65.17,266949588.42,100%,21,21,21
22:02:27,325,1331200000,775.05,750.88,66.06,270562622.66,100%,22,22,22
22:02:32,293,1200128000,738.77,714.64,59.15,242292772.67,100%,23,23,23
22:02:37,323,1323008000,685.27,661.28,67.95,278342327.2,100%,24,24,24
22:02:42,329,1347584000,591.03,566.42,63.51,260149773.3,100%,25,25,25
22:02:47,336,1376256000,816.05,791.74,65.87,269807532.07,100%,26,26,26
22:02:52,300,1228800000,802.58,778.25,57.82,236838406.11,100%,27,27,27
22:02:57,289,1183744000,584.68,560.04,59.58,244038630.11,100%,28,28,28
22:03:02,327,1339392000,962.25,937.8,68.31,279788704.57,100%,29,29,29
22:03:07,303,1241088000,836.23,811.79,62.5,255987978.09,100%,30,30,30
22:03:12,257,1052672000,954.63,930.22,51.06,209161324.96,100%,31,31,31
22:03:17,288,1179648000,913.56,889.74,63.69,260863699.74,100%,32,32,32
22:03:22,310,1269760000,861.25,837.35,61.27,250980160.53,100%,33,33,33
22:03:27,370,1515520000,508.06,483.54,72.82,298274707.34,100%,34,34,34
22:03:32,396,1622016000,668.74,644.02,76.81,314613432.14,100%,35,35,35
22:03:37,406,1662976000,642.37,617.57,80.1,328108343.82,100%,36,36,36
22:03:42,406,1662976000,592.78,568.05,78.13,320000080.41,100%,37,37,37
22:03:47,427,1748992000,541.76,517.16,81.71,334698284.75,100%,38,38,38
22:03:52,375,1536000000,687.98,663.63,73.23,299966824.48,100%,39,39,39
22:03:57,401,1642496000,609.04,584.2,78.08,319806240.96,100%,40,40,40
22:04:02,422,1728512000,546.96,521.93,83.75,343037841.73,100%,41,41,41
22:04:07,413,1691648000,526.9,501.96,79.47,325506405.37,100%,42,42,42
22:04:12,348,1425408000,591.79,566.59,66.54,272542927.42,100%,43,43,43
22:04:17,366,1499136000,668.07,643.21,76.33,312641034,100%,44,44,44
22:04:22,382,1564672000,805.47,780.79,79.07,323878984.93,100%,45,45,45
22:04:27,403,1650688000,563.21,538.72,79.68,326378652.82,100%,46,46,46
22:04:32,408,1671168000,604.29,579.66,79.14,324176582.39,100%,47,47,47
22:04:37,409,1675264000,563.38,538.88,79.36,325043750.12,100%,48,48,48
22:04:42,418,1712128000,520.59,495.82,83.11,340406898.82,100%,49,49,49
22:04:47,403,1650688000,679.31,654.75,78.06,319725410.73,100%,50,50,50
22:04:52,390,1597440000,552.77,527.99,78.2,320297506.06,100%,51,51,51
22:04:57,393,1609728000,684.27,659.71,76.98,315329808.55,100%,52,52,52
22:05:02,377,1544192000,547.88,523.35,76.32,312607561.03,100%,53,53,53
22:05:07,367,1503232000,638.31,613.8,74.27,304198319.87,100%,54,54,54
22:05:12,403,1650688000,536.1,511.72,88.24,361439843.89,100%,55,55,55
22:05:17,427,1748992000,721.89,697.24,88.7,363295079.22,100%,56,56,56
22:05:22,474,1941504000,511.75,486.71,93.24,381894990.24,100%,57,57,57
22:05:27,473,1937408000,505,479.63,91.64,375340641.25,100%,58,58,58
22:05:32,458,1875968000,496.1,470.76,90.67,371367003.28,100%,59,59,59
22:05:37,456,1867776000,525.34,500.06,91.13,373284102.21,100%,60,60,60
22:05:42,468,1916928000,555.22,530.16,92.89,380489663.36,100%,61,61,61
22:05:47,426,1744896000,525.03,500.33,85.05,348377004.97,100%,62,62,62
22:05:52,420,1720320000,541.48,516.84,84.47,345998976.04,100%,63,63,63
22:05:57,446,1826816000,575.22,550.26,90.64,371270585.46,100%,64,64,64
22:06:02,451,1847296000,497.35,472.9,91.08,373059128.65,100%,65,65,65
22:06:07,427,1748992000,636.5,611.34,84.7,346925790,100%,66,66,66
22:06:12,454,1859584000,475.67,450.3,89.75,367598404.62,100%,67,67,67
22:06:17,459,1880064000,559.09,533.99,89.26,365613940.92,100%,68,68,68
22:06:22,489,2002944000,535.54,510.8,95.11,389574793.83,100%,69,69,69
22:06:27,444,1818624000,516.31,491.1,84.62,346613018.05,100%,70,70,70
22:06:32,453,1855488000,541.69,517.35,92.47,378758872.82,100%,71,71,71
22:06:37,449,1839104000,496.13,471.28,89.25,365583674.08,100%,72,72,72
22:06:42,432,1769472000,553.52,528.71,89.41,366210406.32,100%,73,73,73
22:06:47,379,1552384000,635.03,609.21,79.22,324470715.89,100%,74,74,74
22:06:52,487,1994752000,524.4,498.33,96.51,395311630.56,100%,75,75,75
22:06:57,478,1957888000,521.62,496.28,91.23,373663826.6,100%,76,76,76
22:07:02,405,1658880000,549.88,524.73,79.03,323718018.44,100%,77,77,77
22:07:07,448,1835008000,560.93,534.52,94.4,386681891.46,100%,78,78,78
22:07:12,425,1740800000,553.04,525.97,82.66,338571702.51,100%,79,79,79
22:07:17,454,1859584000,528.82,502.21,91.36,374223133.33,100%,80,80,80
22:07:22,381,1560576000,517.27,490.96,77.19,316163076.77,100%,81,81,81
22:07:27,447,1830912000,576.86,549.87,102.52,419937739.8,100%,82,82,82
22:07:32,493,2019328000,505.95,479.36,94.9,388729190.62,100%,83,83,83
22:07:37,465,1904640000,524.06,498.25,89.5,366596585.37,100%,84,84,84
22:07:42,482,1974272000,503.35,478.39,94,385035653.03,100%,85,85,85
