zfs_config,timestamp,pattern,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
mirror,1579433033589,randrw,16k,8,180,12126732288,67207942,257.794734,16.059778,12110856192,67119954,257.440353,16.03775
mirror,1579442133692,randrw,1M,12,180,138882842624,769297645,2956.528244,2.824866,138725556224,768426407,2959.289569,2.826555
mirror,1579333378327,randrw,1M,1,180,111011692544,616546661,18769.333981,18.271514,111141715968,617268796,18809.687091,18.311052
mirror,1579380245719,randrw,1M,2,180,138008330240,766231922,11751.910097,11.416262,137815392256,765160717,11752.090286,11.416749
mirror,1579388398273,randrw,1M,4,180,134062538752,742963366,6159.520541,5.956951,133884280832,741975476,6132.240466,5.930205
mirror,1579433943539,randrw,1M,8,180,143725166592,796689448,3778.845732,3.632073,143760818176,796887070,3781.475489,3.634205
mirror,1579442318527,randrw,2M,12,180,132531617792,732668198,4792.918727,2.273219,132087021568,730210358,4795.345528,2.274804
mirror,1579333559528,randrw,2M,1,180,108179488768,600706818,18794.656949,9.121066,108055756800,600019750,18775.011696,9.112132
mirror,1579380427642,randrw,2M,2,180,135687831552,751321056,12626.769086,6.105647,135843020800,752180359,12593.586142,6.08855
mirror,1579388580662,randrw,2M,4,180,135161446400,749157214,7359.639042,3.533265,135647985664,751853948,7361.56205,3.534181
mirror,1579434127011,randrw,2M,8,180,142946074624,790910912,5424.698865,2.586362,142635696128,789193609,5407.00961,2.577249
mirror,1579441403741,randrw,32k,12,180,21544108032,119260812,319.195179,9.91894,21497282560,119001602,318.361456,9.89319
mirror,1579332654546,randrw,32k,1,180,12736167936,70732518,2153.688229,67.253874,12774899712,70947621,2160.427912,67.464566
mirror,1579379521201,randrw,32k,2,180,18997805056,105488273,1605.905084,50.133633,19022708736,105626554,1608.038106,50.20034
mirror,1579387672276,randrw,32k,4,180,22705209344,125870828,963.273509,30.050241,22693740544,125807248,963.085113,30.044218
mirror,1579433215162,randrw,32k,8,180,23765843968,131781349,505.132578,15.734009,23736254464,131617276,504.393805,15.710846
mirror,1579440857589,randrw,4k,12,180,2320289792,12857212,34.487172,8.581853,2313674752,12820557,34.391312,8.557929
