zfs_config,timestamp,pattern,config,blocksize,filesize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
raidz1,1579493773140,randread,mach2_zfs_raidz1,4k,64G,8,180,1275224064,7084145,864.63855,216.026839,0,0,0,0
raidz1,1579503461125,randread,mach2_zfs_raidz1,512k,64G,12,180,51916570624,288378931,23424.123474,45.571362,0,0,0,0
raidz1,1579596791007,randread,mach2_zfs_raidz1,512k,64G,16,180,64010846208,355526930,21649.946803,42.220187,0,0,0,0
raidz1,1579469981793,randread,mach2_zfs_raidz1,512k,64G,1,180,25702694912,142784023,139399.222841,272.130919,0,0,0,0
raidz1,1579605860185,randread,mach2_zfs_raidz1,512k,64G,24,180,68944920576,382923096,15562.089349,30.349349,0,0,0,0
raidz1,1579614464608,randread,mach2_zfs_raidz1,512k,64G,28,180,68833247232,382249781,13328.084709,25.956167,0,0,0,0
raidz1,1579478116588,randread,mach2_zfs_raidz1,512k,64G,2,180,22576365568,125417285,61372.215989,119.611501,0,0,0,0
raidz1,1579486251549,randread,mach2_zfs_raidz1,512k,64G,4,180,32266256384,179239056,43748.675543,85.219341,0,0,0,0
raidz1,1579494857643,randread,mach2_zfs_raidz1,512k,64G,8,180,42138599424,234040919,28524.744382,55.631671,0,0,0,0
raidz1,1579503099597,randread,mach2_zfs_raidz1,64k,64G,12,180,51900579840,288306122,23411.283565,365.599306,0,0,0,0
raidz1,1579596429422,randread,mach2_zfs_raidz1,64k,64G,16,180,63788482560,354335182,21580.969618,337.159028,0,0,0,0
raidz1,1579469620295,randread,mach2_zfs_raidz1,64k,64G,1,180,21117075456,117294278,114448.369444,1788.138889,0,0,0,0
raidz1,1579605498594,randread,mach2_zfs_raidz1,64k,64G,24,180,69097881600,383819547,15572.503472,243.277662,0,0,0,0
raidz1,1579614102982,randread,mach2_zfs_raidz1,64k,64G,28,180,69393055744,385358551,13399.547872,209.310051,0,0,0,0
raidz1,1579477755131,randread,mach2_zfs_raidz1,64k,64G,2,180,20509949952,113932773,55618.022253,868.828929,0,0,0,0
raidz1,1579485890050,randread,mach2_zfs_raidz1,64k,64G,4,180,30573199360,169837897,41411.525694,646.976389,0,0,0,0
raidz1,1579494496126,randread,mach2_zfs_raidz1,64k,64G,8,180,42045079552,233563014,28468.788194,444.6375,0,0,0,0
raidz1,1579502557332,randread,mach2_zfs_raidz1,8k,64G,12,180,4865990656,27029377,2193.988194,274.139815,0,0,0,0
raidz1,1579595887132,randread,mach2_zfs_raidz1,8k,64G,16,180,6080438272,33777022,2055.384375,256.853125,0,0,0,0
raidz1,1579469078036,randread,mach2_zfs_raidz1,8k,64G,1,180,1362870272,7571459,7391.29805,923.816156,0,0,0,0
raidz1,1579604956254,randread,mach2_zfs_raidz1,8k,64G,24,180,6686081024,37140561,1505.639079,188.15268,0,0,0,0
raidz1,1579613560462,randread,mach2_zfs_raidz1,8k,64G,28,180,6740516864,37440035,1299.940961,162.317027,0,0,0,0
raidz1,1579477212931,randread,mach2_zfs_raidz1,8k,64G,2,180,1290633216,7169746,3491.902778,436.306944,0,0,0,0
raidz1,1579485347823,randread,mach2_zfs_raidz1,8k,64G,4,180,1897390080,10540646,2568.230716,320.872828,0,0,0,0
raidz1,1579493953886,randread,mach2_zfs_raidz1,8k,64G,8,180,3912073216,21731929,2646.550886,330.775964,0,0,0,0
raidz1,1579501653019,randrw,mach2_zfs_raidz1,128k,64G,12,180,35917529088,199518551,16190.470833,126.440972,35937845248,199631405,16201.557176,126.527315
raidz1,1579594982639,randrw,mach2_zfs_raidz1,128k,64G,16,180,44850872320,249147982,15160.007986,118.403299,44864503808,249223705,15167.197743,118.459722
raidz1,1579468174062,randrw,mach2_zfs_raidz1,128k,64G,1,180,14976024576,83198287,81150.836111,633.822222,14941552640,83006781,80978.177778,632.475
raidz1,1579604051477,randrw,mach2_zfs_raidz1,128k,64G,24,180,44954681344,249706611,10114.420255,78.961227,45047218176,250220619,10138.028244,79.145734
raidz1,1579612655661,randrw,mach2_zfs_raidz1,128k,64G,28,180,44849692672,249117903,8649.787728,67.525119,44979847168,249840847,8676.41086,67.733373
raidz1,1579476308884,randrw,mach2_zfs_raidz1,128k,64G,2,180,16487022592,91589481,44656.351389,348.638889,16492003328,91617150,44670.568056,348.751389
raidz1,1579484443710,randrw,mach2_zfs_raidz1,128k,64G,4,180,24662376448,137005591,33416.128562,260.920778,24655429632,136966999,33402.612231,260.817234
raidz1,1579493049584,randrw,mach2_zfs_raidz1,128k,64G,8,180,29986521088,166563097,20283.706944,158.384028,30012080128,166705068,20302.465278,158.529861
raidz1,1579501110706,randrw,mach2_zfs_raidz1,16k,64G,12,180,2225291264,12360600,1001.67115,62.521104,2231615488,12395729,1004.834416,62.718692
raidz1,1579594440322,randrw,mach2_zfs_raidz1,16k,64G,16,180,2831532032,15728985,957.385406,59.768548,2841870336,15786414,960.465169,59.961163
raidz1,1579467631915,randrw,mach2_zfs_raidz1,16k,64G,1,180,1134247936,6300992,6146.530556,384.002778,1128087552,6266770,6111.133333,381.794444
raidz1,1579603509115,randrw,mach2_zfs_raidz1,16k,64G,24,180,2934718464,16300550,659.557516,41.170865,2950053888,16385729,662.988508,41.385374
raidz1,1579612113204,randrw,mach2_zfs_raidz1,16k,64G,28,180,2931474432,16282079,564.161971,35.195022,2941140992,16335769,566.015529,35.31097
