Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,4032,0,143.82,143.82,6.95,0,100%
cleanup,delete,4032,0,128.11,128.11,7.81,0,100%
cleanup,delete,4032,0,114.64,114.64,8.72,0,100%
cleanup,delete,4032,0,111.2,111.2,8.99,0,100%
cleanup,delete,4032,0,137.97,137.97,7.25,0,100%
cleanup,delete,4032,0,139.12,139.12,7.19,0,100%
cleanup,delete,4032,0,118.29,118.29,8.45,0,100%
cleanup,delete,4032,0,135.43,135.43,7.38,0,100%
cleanup,delete,4032,0,125.91,125.91,7.94,0,100%
cleanup,delete,4032,0,136.61,136.61,7.32,0,100%
cleanup,delete,4032,0,121.22,121.22,8.25,0,100%
cleanup,delete,4032,0,131.81,131.81,7.59,0,100%
cleanup,delete,4032,0,116.68,116.68,8.57,0,100%
cleanup,delete,4032,0,119.67,119.67,8.36,0,100%
cleanup,delete,4032,0,146.17,146.17,6.84,0,100%
cleanup,delete,4032,0,141.3,141.3,7.08,0,100%
cleanup,delete,4032,0,144.5,144.5,6.92,0,100%
cleanup,delete,4032,0,145.6,145.6,6.87,0,100%
cleanup,delete,4032,0,126.55,126.55,7.9,0,100%
cleanup,delete,4032,0,140.02,140.02,7.14,0,100%
cleanup,delete,4032,0,122.65,122.65,8.15,0,100%
cleanup,delete,4032,0,128.51,128.51,7.78,0,100%
cleanup,delete,4032,0,127.03,127.03,7.87,0,100%
cleanup,delete,4032,0,142.15,142.15,7.03,0,100%
cleanup,delete,4032,0,127.31,127.31,7.85,0,100%
cleanup,delete,4032,0,137.24,137.24,7.29,0,100%
cleanup,delete,4032,0,130.97,130.97,7.63,0,100%
cleanup,delete,4032,0,130.59,130.59,7.66,0,100%
cleanup,delete,4032,0,107.81,107.81,9.27,0,100%
cleanup,delete,4032,0,138.47,138.47,7.22,0,100%
cleanup,delete,4032,0,109.6,109.6,9.12,0,100%
cleanup,delete,4032,0,128.94,128.94,7.76,0,100%
cleanup,delete,4032,0,107.11,107.11,9.34,0,100%
cleanup,delete,4032,0,146.28,146.28,6.84,0,100%
cleanup,delete,4032,0,124.1,124.1,8.06,0,100%
cleanup,delete,4032,0,100.38,100.38,9.96,0,100%
cleanup,delete,4032,0,105.68,105.68,9.46,0,100%
cleanup,delete,4032,0,143.26,143.26,6.98,0,100%
cleanup,delete,4032,0,145.04,145.04,6.89,0,100%
cleanup,delete,4032,0,142.27,142.27,7.03,0,100%
cleanup,delete,3840,0,95.59,95.59,10.46,0,100%
cleanup,delete,3840,0,86.99,86.99,11.49,0,100%
cleanup,delete,3840,0,102.12,102.12,9.79,0,100%
cleanup,delete,3840,0,100.46,100.46,9.95,0,100%
cleanup,delete,3840,0,92.36,92.36,10.83,0,100%
cleanup,delete,3840,0,93.92,93.92,10.65,0,100%
cleanup,delete,3840,0,91.23,91.23,10.96,0,100%
cleanup,delete,3840,0,97.29,97.29,10.28,0,100%
cleanup,delete,24822,0,57.37,57.37,17.43,0,100%
cleanup,delete,24822,0,54.81,54.81,18.24,0,100%
cleanup,delete,24822,0,52.59,52.59,19.01,0,100%
cleanup,delete,24822,0,52.04,52.04,19.22,0,100%
cleanup,delete,24822,0,56.36,56.36,17.74,0,100%
cleanup,delete,24822,0,56.55,56.55,17.68,0,100%
cleanup,delete,24822,0,53.22,53.22,18.79,0,100%
cleanup,delete,24822,0,56.04,56.04,17.84,0,100%
cleanup,delete,24822,0,54.4,54.4,18.38,0,100%
cleanup,delete,24822,0,56.15,56.15,17.81,0,100%
cleanup,delete,24822,0,53.64,53.64,18.64,0,100%
cleanup,delete,24822,0,55.39,55.39,18.05,0,100%
cleanup,delete,24822,0,52.78,52.78,18.95,0,100%
cleanup,delete,24822,0,53.24,53.24,18.78,0,100%
cleanup,delete,24822,0,57.69,57.69,17.33,0,100%
cleanup,delete,24822,0,56.91,56.91,17.57,0,100%
cleanup,delete,24822,0,57.47,57.47,17.4,0,100%
cleanup,delete,24822,0,57.64,57.64,17.35,0,100%
cleanup,delete,24822,0,54.61,54.61,18.31,0,100%
cleanup,delete,24822,0,56.82,56.82,17.6,0,100%
cleanup,delete,24822,0,53.86,53.86,18.57,0,100%
cleanup,delete,24822,0,54.84,54.84,18.23,0,100%
cleanup,delete,24822,0,54.73,54.73,18.27,0,100%
cleanup,delete,24822,0,57.21,57.21,17.48,0,100%
cleanup,delete,24822,0,54.7,54.7,18.28,0,100%
cleanup,delete,24822,0,56.33,56.33,17.75,0,100%
cleanup,delete,24822,0,55.08,55.08,18.15,0,100%
cleanup,delete,24822,0,55.02,55.02,18.17,0,100%
cleanup,delete,24822,0,51.48,51.48,19.42,0,100%
cleanup,delete,24822,0,56.46,56.46,17.71,0,100%
cleanup,delete,24822,0,51.8,51.8,19.3,0,100%
cleanup,delete,24822,0,54.92,54.92,18.21,0,100%
cleanup,delete,24822,0,51.41,51.41,19.45,0,100%
cleanup,delete,24822,0,57.75,57.75,17.31,0,100%
cleanup,delete,24822,0,54.01,54.01,18.51,0,100%
cleanup,delete,24822,0,50.23,50.23,19.91,0,100%
cleanup,delete,24822,0,51.08,51.08,19.58,0,100%
cleanup,delete,24822,0,57.15,57.15,17.5,0,100%
cleanup,delete,24822,0,57.41,57.41,17.42,0,100%
cleanup,delete,24822,0,56.97,56.97,17.55,0,100%
cleanup,delete,23640,0,49.28,49.28,20.29,0,100%
cleanup,delete,23640,0,47.9,47.9,20.87,0,100%
cleanup,delete,23640,0,50.4,50.4,19.84,0,100%
cleanup,delete,23640,0,50.12,50.12,19.95,0,100%
cleanup,delete,23640,0,48.79,48.79,20.5,0,100%
cleanup,delete,23640,0,49.05,49.05,20.39,0,100%
cleanup,delete,23640,0,48.65,48.65,20.55,0,100%
cleanup,delete,23640,0,49.63,49.63,20.15,0,100%
